stn_code,stn_name,xcrd,ycrd
516,Harderwijk,168000.0,488000.0
523,Wijk bij Duurstede,149000.0,444000.0
539,Nijmegen,190000.0,429000.0
541,Arnhem,192000.0,445000.0
542,Putten Gld,170000.0,472000.0
543,Apeldoorn,194000.0,471000.0
546,Woudenberg,160000.0,455000.0
547,Nijkerk,162000.0,472000.0
548,Loenen aan de Vecht,129000.0,467000.0
549,Culemborg,144000.0,438000.0
550,De Bilt,141000.0,456000.0
557,Eerbeek,202000.0,458000.0
558,Lunteren,170000.0,455000.0
559,Vleuten,129000.0,456000.0
560,Amerongen,160000.0,445000.0
561,Benschop,124000.0,446000.0
562,Tiel,159000.0,438000.0
563,Weesp,131000.0,479000.0
564,Hulshorst,177000.0,485000.0
565,Voorthuizen,170000.0,466000.0
567,Kootwijk Radio,185000.0,465000.0
569,Heumen,186000.0,420000.0
570,Elspeet,182000.0,479000.0
571,Harskamp,178000.0,463000.0
572,Abcoude,127000.0,475000.0
573,Beekbergen,194000.0,464000.0
576,Spakenburg,154000.0,473000.0
578,Oosterbeek,185000.0,447000.0
579,Veenendaal,169000.0,449000.0
580,Barneveld,167000.0,461000.0
582,Hamersveld,159000.0,462000.0
583,Wageningen Pd,173000.0,445000.0
584,Geldermalsen,147000.0,432000.0
588,Duiven,199000.0,441000.0
589,Zetten,177000.0,439000.0
591,Deelen,190000.0,454000.0
593,Laren,144000.0,473000.0
595,Soest,151000.0,464000.0
596,Eemnes,147000.0,476000.0
645,Hengelo,218000.0,454000.0
663,Lochem,223000.0,463000.0
664,Almelo,242000.0,485000.0
665,Enschede,260000.0,468000.0
666,Winterswijk Sibinkweg,244000.0,442000.0
667,Doetinchem,217000.0,445000.0
668,Hengelo,249000.0,476000.0
669,Borculo,233000.0,457000.0
670,Twenthe,259000.0,475000.0
672,Hellendoorn,227000.0,489000.0
673,Gendringen,222000.0,431000.0
674,Rekken,247000.0,457000.0
675,Weerselo,256000.0,486000.0
678,Almen,218000.0,463000.0
679,Herwen,204000.0,433000.0
680,Aalten,236000.0,437000.0
681,Lettele,215000.0,476000.0
682,Markelo,230000.0,473000.0
683,Lichtenvoorde,236000.0,446000.0
684,Lievelde,241000.0,447000.0
686,Woold,248000.0,438000.0
687,Holten,228000.0,481000.0
688,Hupsel,241000.0,454000.0
689,Deventer,212000.0,475000.0
705,Breskens,27000.0,380000.0
733,Ritthem,32000.0,387000.0
735,Kapelle,55000.0,389000.0
736,Brouwershaven,51000.0,417000.0
737,Kerkwerve,49000.0,411000.0
738,Biervliet,37000.0,373000.0
740,St Kruis,23000.0,366000.0
741,Stavenisse,60000.0,401000.0
742,Terneuzen,49000.0,369000.0
743,Noordgouwe,57000.0,413000.0
744,Anna Jacoba Polder,68000.0,406000.0
746,Westkapelle,20000.0,395000.0
747,Krabbendijke,65000.0,384000.0
749,Wilhelminadorp,51000.0,394000.0
750,Rilland,71000.0,382000.0
751,Vrouwenpolder,30000.0,401000.0
752,Haamstede,39000.0,411000.0
754,Ovezande,46000.0,383000.0
755,Kortgene,46000.0,398000.0
756,Middelburg,30000.0,389000.0
757,Tholen,74000.0,394000.0
758,Wolphaartsdijk,42000.0,395000.0
760,'s Heerenhoek,43000.0,388000.0
761,Philippine,41000.0,368000.0
762,Schoondijke,27000.0,376000.0
763,Cadzand,18000.0,376000.0
