Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,25-02-2012,tot:,22-01-2020,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28B1389,003,,232673,488629,991,01-12-2011,01-12-2011,25-02-2012,,,,
B28B1389,003,,232673,488629,991,01-12-2011,25-02-2012,22-01-2020,1000,9,375,325


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28B1389,003,25-02-2012,164,155,836,,,,,,
B28B1389,003,26-02-2012,162,153,838,,,,,,
B28B1389,003,27-02-2012,163,154,837,,,,,,
B28B1389,003,28-02-2012,163,154,837,,,,,,
B28B1389,003,29-02-2012,164,155,836,,,,,,
B28B1389,003,01-03-2012,165,156,835,,,,,,
B28B1389,003,02-03-2012,166,157,834,,,,,,
B28B1389,003,03-03-2012,168,159,832,,,,,,
B28B1389,003,04-03-2012,167,158,833,,,,,,
B28B1389,003,05-03-2012,169,160,831,,,,,,
B28B1389,003,06-03-2012,166,157,834,,,,,,
B28B1389,003,07-03-2012,170,161,830,,,,,,
B28B1389,003,08-03-2012,169,160,831,,,,,,
B28B1389,003,09-03-2012,168,159,832,,,,,,
B28B1389,003,10-03-2012,167,158,833,,,,,,
B28B1389,003,11-03-2012,167,158,833,,,,,,
B28B1389,003,12-03-2012,168,159,832,,,,,,
B28B1389,003,13-03-2012,169,160,831,,,,,,
B28B1389,003,14-03-2012,171,162,829,,,,,,
B28B1389,003,15-03-2012,172,163,828,,,,,,
B28B1389,003,16-03-2012,174,165,826,,,,,,
B28B1389,003,17-03-2012,174,165,826,,,,,,
B28B1389,003,18-03-2012,175,166,825,,,,,,
B28B1389,003,19-03-2012,176,167,824,,,,,,
B28B1389,003,20-03-2012,182,173,818,,,,,,
B28B1389,003,21-03-2012,183,174,817,,,,,,
B28B1389,003,22-03-2012,184,175,816,,,,,,
B28B1389,003,23-03-2012,184,175,816,,,,,,
B28B1389,003,24-03-2012,184,175,816,,,,,,
B28B1389,003,25-03-2012,186,177,814,,,,,,
B28B1389,003,26-03-2012,188,179,812,,,,,,
B28B1389,003,27-03-2012,190,181,810,,,,,,
B28B1389,003,28-03-2012,190,181,810,,,,,,
B28B1389,003,29-03-2012,190,181,810,,,,,,
B28B1389,003,30-03-2012,189,180,811,,,,,,
B28B1389,003,31-03-2012,190,181,810,,,,,,
B28B1389,003,01-04-2012,190,181,810,,,,,,
B28B1389,003,02-04-2012,193,184,807,,,,,,
B28B1389,003,03-04-2012,193,184,807,,,,,,
B28B1389,003,04-04-2012,193,184,807,,,,,,
B28B1389,003,05-04-2012,196,187,804,,,,,,
B28B1389,003,06-04-2012,199,190,801,,,,,,
B28B1389,003,07-04-2012,198,189,802,,,,,,
B28B1389,003,08-04-2012,197,188,803,,,,,,
B28B1389,003,09-04-2012,200,191,800,,,,,,
B28B1389,003,10-04-2012,197,188,803,,,,,,
B28B1389,003,11-04-2012,193,184,807,,,,,,
B28B1389,003,12-04-2012,189,180,811,,,,,,
B28B1389,003,13-04-2012,187,178,813,,,,,,
B28B1389,003,14-04-2012,187,178,813,,,,,,
B28B1389,003,15-04-2012,187,178,813,,,,,,
B28B1389,003,16-04-2012,189,180,811,,,,,,
B28B1389,003,17-04-2012,192,183,808,,,,,,
