Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,29-10-2015,tot:,11-09-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28F1490,003,,259592,490035,2020,18-08-2015,18-08-2015,11-09-2019,2075,55,410,360


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28F1490,003,01-02-2016,64,9,2011,,,,,,
B28F1490,003,02-02-2016,63,8,2012,,,,,,
B28F1490,003,03-02-2016,67,12,2008,,,,,,
B28F1490,003,04-02-2016,68,13,2007,,,,,,
B28F1490,003,05-02-2016,67,12,2008,,,,,,
B28F1490,003,06-02-2016,68,13,2007,,,,,,
B28F1490,003,07-02-2016,70,15,2005,,,,,,
B28F1490,003,08-02-2016,70,15,2005,,,,,,
B28F1490,003,09-02-2016,65,10,2010,,,,,,
B28F1490,003,10-02-2016,57,2,2018,,,,,,
B28F1490,003,11-02-2016,61,6,2014,,,,,,
B28F1490,003,12-02-2016,64,9,2011,,,,,,
B28F1490,003,13-02-2016,67,12,2008,,,,,,
B28F1490,003,14-02-2016,67,12,2008,,,,,,
B28F1490,003,15-02-2016,62,7,2013,,,,,,
B28F1490,003,16-02-2016,65,10,2010,,,,,,
B28F1490,003,17-02-2016,66,11,2009,,,,,,
B28F1490,003,18-02-2016,69,14,2006,,,,,,
B28F1490,003,19-02-2016,70,15,2005,,,,,,
B28F1490,003,20-02-2016,70,15,2005,,,,,,
B28F1490,003,21-02-2016,62,7,2013,,,,,,
B28F1490,003,22-02-2016,57,2,2018,,,,,,
B28F1490,003,23-02-2016,61,6,2014,,,,,,
B28F1490,003,24-02-2016,64,9,2011,,,,,,
B28F1490,003,25-02-2016,67,12,2008,,,,,,
B28F1490,003,26-02-2016,69,14,2006,,,,,,
B28F1490,003,27-02-2016,71,16,2004,,,,,,
B28F1490,003,28-02-2016,73,18,2002,,,,,,
B28F1490,003,29-02-2016,74,19,2001,,,,,,
B28F1490,003,01-03-2016,75,20,2000,,,,,,
B28F1490,003,02-03-2016,69,14,2006,,,,,,
B28F1490,003,03-03-2016,67,12,2008,,,,,,
B28F1490,003,04-03-2016,67,12,2008,,,,,,
B28F1490,003,05-03-2016,64,9,2011,,,,,,
B28F1490,003,06-03-2016,67,12,2008,,,,,,
B28F1490,003,07-03-2016,69,14,2006,,,,,,
B28F1490,003,08-03-2016,71,16,2004,,,,,,
B28F1490,003,09-03-2016,72,17,2003,,,,,,
B28F1490,003,10-03-2016,75,20,2000,,,,,,
B28F1490,003,11-03-2016,76,21,1999,,,,,,
B28F1490,003,12-03-2016,77,22,1998,,,,,,
B28F1490,003,13-03-2016,79,24,1996,,,,,,
B28F1490,003,14-03-2016,79,24,1996,,,,,,
B28F1490,003,15-03-2016,81,26,1994,,,,,,
B28F1490,003,16-03-2016,82,27,1993,,,,,,
B28F1490,003,17-03-2016,82,27,1993,,,,,,
B28F1490,003,18-03-2016,83,28,1992,,,,,,
B28F1490,003,19-03-2016,84,29,1991,,,,,,
B28F1490,003,20-03-2016,85,30,1990,,,,,,
B28F1490,003,21-03-2016,85,30,1990,,,,,,
B28F1490,003,22-03-2016,85,30,1990,,,,,,
B28F1490,003,23-03-2016,86,31,1989,,,,,,
B28F1490,003,24-03-2016,87,32,1988,,,,,,
B28F1490,003,25-03-2016,84,29,1991,,,,,,
B28F1490,003,26-03-2016,82,27,1993,,,,,,
B28F1490,003,27-03-2016,80,25,1995,,,,,,
B28F1490,003,28-03-2016,78,23,1997,,,,,,
B28F1490,003,29-03-2016,78,23,1997,,,,,,
B28F1490,003,30-03-2016,71,16,2004,,,,,,
B28F1490,003,31-03-2016,75,20,2000,,,,,,
B28F1490,003,01-04-2016,77,22,1998,,,,,,
B28F1490,003,02-04-2016,79,24,1996,,,,,,
B28F1490,003,03-04-2016,80,25,1995,,,,,,
B28F1490,003,04-04-2016,81,26,1994,,,,,,
B28F1490,003,05-04-2016,83,28,1992,,,,,,
B28F1490,003,06-04-2016,81,26,1994,,,,,,
B28F1490,003,07-04-2016,81,26,1994,,,,,,
B28F1490,003,08-04-2016,81,26,1994,,,,,,
B28F1490,003,09-04-2016,82,27,1993,,,,,,
B28F1490,003,10-04-2016,85,30,1990,,,,,,
B28F1490,003,11-04-2016,86,31,1989,,,,,,
B28F1490,003,12-04-2016,87,32,1988,,,,,,
B28F1490,003,13-04-2016,86,31,1989,,,,,,
B28F1490,003,14-04-2016,88,33,1987,,,,,,
B28F1490,003,15-04-2016,85,30,1990,,,,,,
B28F1490,003,16-04-2016,77,22,1998,,,,,,
B28F1490,003,17-04-2016,81,26,1994,,,,,,
B28F1490,003,18-04-2016,83,28,1992,,,,,,
B28F1490,003,19-04-2016,85,30,1990,,,,,,
B28F1490,003,20-04-2016,87,32,1988,,,,,,
B28F1490,003,21-04-2016,88,33,1987,,,,,,
B28F1490,003,22-04-2016,90,35,1985,,,,,,
B28F1490,003,23-04-2016,91,36,1984,,,,,,
B28F1490,003,24-04-2016,91,36,1984,,,,,,
B28F1490,003,25-04-2016,91,36,1984,,,,,,
B28F1490,003,26-04-2016,86,31,1989,,,,,,
B28F1490,003,27-04-2016,84,29,1991,,,,,,
B28F1490,003,28-04-2016,85,30,1990,,,,,,
B28F1490,003,29-04-2016,87,32,1988,,,,,,
B28F1490,003,30-04-2016,88,33,1987,,,,,,
B28F1490,003,01-05-2016,90,35,1985,,,,,,
B28F1490,003,02-05-2016,91,36,1984,,,,,,
B28F1490,003,03-05-2016,92,37,1983,,,,,,
B28F1490,003,04-05-2016,94,39,1981,,,,,,
B28F1490,003,05-05-2016,95,40,1980,,,,,,
B28F1490,003,06-05-2016,96,41,1979,,,,,,
B28F1490,003,07-05-2016,98,43,1977,,,,,,
B28F1490,003,08-05-2016,101,46,1974,,,,,,
B28F1490,003,09-05-2016,103,48,1972,,,,,,
B28F1490,003,10-05-2016,105,50,1970,,,,,,
B28F1490,003,11-05-2016,107,52,1968,,,,,,
B28F1490,003,12-05-2016,109,54,1966,,,,,,
B28F1490,003,13-05-2016,111,56,1964,,,,,,
B28F1490,003,14-05-2016,114,59,1961,,,,,,
B28F1490,003,15-05-2016,114,59,1961,,,,,,
B28F1490,003,16-05-2016,115,60,1960,,,,,,
B28F1490,003,17-05-2016,116,61,1959,,,,,,
B28F1490,003,18-05-2016,117,62,1958,,,,,,
B28F1490,003,19-05-2016,118,63,1957,,,,,,
B28F1490,003,20-05-2016,120,65,1955,,,,,,
B28F1490,003,21-05-2016,120,65,1955,,,,,,
B28F1490,003,22-05-2016,123,68,1952,,,,,,
B28F1490,003,23-05-2016,121,66,1954,,,,,,
B28F1490,003,24-05-2016,115,60,1960,,,,,,
B28F1490,003,25-05-2016,115,60,1960,,,,,,
B28F1490,003,26-05-2016,118,63,1957,,,,,,
B28F1490,003,27-05-2016,121,66,1954,,,,,,
B28F1490,003,28-05-2016,122,67,1953,,,,,,
B28F1490,003,29-05-2016,124,69,1951,,,,,,
B28F1490,003,30-05-2016,123,68,1952,,,,,,
B28F1490,003,31-05-2016,121,66,1954,,,,,,
B28F1490,003,01-06-2016,123,68,1952,,,,,,
B28F1490,003,02-06-2016,127,72,1948,,,,,,
B28F1490,003,03-06-2016,125,70,1950,,,,,,
B28F1490,003,04-06-2016,130,75,1945,,,,,,
B28F1490,003,05-06-2016,134,79,1941,,,,,,
B28F1490,003,06-06-2016,136,81,1939,,,,,,
B28F1490,003,07-06-2016,139,84,1936,,,,,,
B28F1490,003,08-06-2016,142,87,1933,,,,,,
B28F1490,003,09-06-2016,143,88,1932,,,,,,
B28F1490,003,10-06-2016,147,92,1928,,,,,,
B28F1490,003,11-06-2016,150,95,1925,,,,,,
B28F1490,003,12-06-2016,151,96,1924,,,,,,
B28F1490,003,13-06-2016,142,87,1933,,,,,,
B28F1490,003,14-06-2016,141,86,1934,,,,,,
B28F1490,003,15-06-2016,134,79,1941,,,,,,
B28F1490,003,16-06-2016,130,75,1945,,,,,,
B28F1490,003,17-06-2016,134,79,1941,,,,,,
B28F1490,003,18-06-2016,131,76,1944,,,,,,
B28F1490,003,19-06-2016,125,70,1950,,,,,,
B28F1490,003,20-06-2016,129,74,1946,,,,,,
B28F1490,003,21-06-2016,113,58,1962,,,,,,
B28F1490,003,22-06-2016,117,62,1958,,,,,,
B28F1490,003,23-06-2016,123,68,1952,,,,,,
B28F1490,003,24-06-2016,106,51,1969,,,,,,
B28F1490,003,25-06-2016,106,51,1969,,,,,,
B28F1490,003,26-06-2016,98,43,1977,,,,,,
B28F1490,003,27-06-2016,104,49,1971,,,,,,
B28F1490,003,28-06-2016,101,46,1974,,,,,,
B28F1490,003,29-06-2016,107,52,1968,,,,,,
B28F1490,003,30-06-2016,112,57,1963,,,,,,
B28F1490,003,01-07-2016,116,61,1959,,,,,,
B28F1490,003,02-07-2016,111,56,1964,,,,,,
B28F1490,003,03-07-2016,107,52,1968,,,,,,
B28F1490,003,04-07-2016,114,59,1961,,,,,,
B28F1490,003,05-07-2016,119,64,1956,,,,,,
B28F1490,003,06-07-2016,123,68,1952,,,,,,
B28F1490,003,07-07-2016,128,73,1947,,,,,,
B28F1490,003,08-07-2016,131,76,1944,,,,,,
B28F1490,003,09-07-2016,135,80,1940,,,,,,
B28F1490,003,10-07-2016,138,83,1937,,,,,,
B28F1490,003,11-07-2016,144,89,1931,,,,,,
B28F1490,003,12-07-2016,147,92,1928,,,,,,
B28F1490,003,13-07-2016,148,93,1927,,,,,,
B28F1490,003,14-07-2016,151,96,1924,,,,,,
B28F1490,003,15-07-2016,153,98,1922,,,,,,
B28F1490,003,16-07-2016,155,100,1920,,,,,,
B28F1490,003,17-07-2016,156,101,1919,,,,,,
B28F1490,003,18-07-2016,160,105,1915,,,,,,
B28F1490,003,19-07-2016,164,109,1911,,,,,,
B28F1490,003,20-07-2016,168,113,1907,,,,,,
B28F1490,003,21-07-2016,171,116,1904,,,,,,
B28F1490,003,22-07-2016,168,113,1907,,,,,,
B28F1490,003,23-07-2016,168,113,1907,,,,,,
B28F1490,003,24-07-2016,169,114,1906,,,,,,
B28F1490,003,25-07-2016,173,118,1902,,,,,,
B28F1490,003,26-07-2016,175,120,1900,,,,,,
B28F1490,003,27-07-2016,177,122,1898,,,,,,
B28F1490,003,28-07-2016,176,121,1899,,,,,,
B28F1490,003,29-07-2016,168,113,1907,,,,,,
B28F1490,003,30-07-2016,171,116,1904,,,,,,
B28F1490,003,31-07-2016,168,113,1907,,,,,,
B28F1490,003,01-08-2016,167,112,1908,,,,,,
B28F1490,003,02-08-2016,166,111,1909,,,,,,
B28F1490,003,03-08-2016,164,109,1911,,,,,,
B28F1490,003,04-08-2016,163,108,1912,,,,,,
B28F1490,003,05-08-2016,166,111,1909,,,,,,
B28F1490,003,06-08-2016,169,114,1906,,,,,,
B28F1490,003,07-08-2016,172,117,1903,,,,,,
B28F1490,003,08-08-2016,174,119,1901,,,,,,
B28F1490,003,09-08-2016,177,122,1898,,,,,,
B28F1490,003,10-08-2016,177,122,1898,,,,,,
B28F1490,003,11-08-2016,177,122,1898,,,,,,
B28F1490,003,12-08-2016,166,111,1909,,,,,,
B28F1490,003,13-08-2016,163,108,1912,,,,,,
B28F1490,003,14-08-2016,165,110,1910,,,,,,
B28F1490,003,15-08-2016,169,114,1906,,,,,,
B28F1490,003,16-08-2016,173,118,1902,,,,,,
B28F1490,003,17-08-2016,176,121,1899,,,,,,
B28F1490,003,18-08-2016,180,125,1895,,,,,,
B28F1490,003,19-08-2016,182,127,1893,,,,,,
B28F1490,003,20-08-2016,183,128,1892,,,,,,
B28F1490,003,21-08-2016,182,127,1893,,,,,,
B28F1490,003,22-08-2016,181,126,1894,,,,,,
B28F1490,003,23-08-2016,179,124,1896,,,,,,
B28F1490,003,24-08-2016,184,129,1891,,,,,,
B28F1490,003,25-08-2016,187,132,1888,,,,,,
B28F1490,003,26-08-2016,189,134,1886,,,,,,
B28F1490,003,27-08-2016,190,135,1885,,,,,,
B28F1490,003,28-08-2016,191,136,1884,,,,,,
B28F1490,003,29-08-2016,191,136,1884,,,,,,
B28F1490,003,30-08-2016,192,137,1883,,,,,,
B28F1490,003,31-08-2016,193,138,1882,,,,,,
B28F1490,003,01-09-2016,194,139,1881,,,,,,
B28F1490,003,02-09-2016,189,134,1886,,,,,,
B28F1490,003,03-09-2016,190,135,1885,,,,,,
B28F1490,003,04-09-2016,190,135,1885,,,,,,
B28F1490,003,05-09-2016,189,134,1886,,,,,,
B28F1490,003,06-09-2016,191,136,1884,,,,,,
B28F1490,003,07-09-2016,193,138,1882,,,,,,
B28F1490,003,08-09-2016,195,140,1880,,,,,,
B28F1490,003,09-09-2016,195,140,1880,,,,,,
B28F1490,003,10-09-2016,195,140,1880,,,,,,
B28F1490,003,11-09-2016,197,142,1878,,,,,,
B28F1490,003,12-09-2016,197,142,1878,,,,,,
B28F1490,003,13-09-2016,198,143,1877,,,,,,
B28F1490,003,14-09-2016,200,145,1875,,,,,,
B28F1490,003,15-09-2016,201,146,1874,,,,,,
B28F1490,003,16-09-2016,192,137,1883,,,,,,
