Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,25-02-2012,tot:,22-01-2020,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28B1389,002,,232673,488629,991,01-12-2011,01-12-2011,25-02-2012,,,,
B28B1389,002,,232673,488629,991,01-12-2011,25-02-2012,22-01-2020,1003,12,828,778


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28B1389,002,01-06-2012,124,112,879,,,,,,
B28B1389,002,02-06-2012,126,114,877,,,,,,
B28B1389,002,03-06-2012,126,114,877,,,,,,
B28B1389,002,04-06-2012,124,112,879,,,,,,
B28B1389,002,05-06-2012,126,114,877,,,,,,
B28B1389,002,06-06-2012,127,115,876,,,,,,
B28B1389,002,07-06-2012,124,112,879,,,,,,
B28B1389,002,08-06-2012,125,113,878,,,,,,
B28B1389,002,09-06-2012,127,115,876,,,,,,
B28B1389,002,10-06-2012,129,117,874,,,,,,
B28B1389,002,11-06-2012,129,117,874,,,,,,
B28B1389,002,12-06-2012,129,117,874,,,,,,
B28B1389,002,13-06-2012,132,120,871,,,,,,
B28B1389,002,14-06-2012,133,121,870,,,,,,
B28B1389,002,15-06-2012,134,122,869,,,,,,
B28B1389,002,16-06-2012,133,121,870,,,,,,
B28B1389,002,17-06-2012,134,122,869,,,,,,
B28B1389,002,18-06-2012,137,125,866,,,,,,
B28B1389,002,19-06-2012,136,124,867,,,,,,
B28B1389,002,20-06-2012,137,125,866,,,,,,
B28B1389,002,21-06-2012,137,125,866,,,,,,
B28B1389,002,22-06-2012,137,125,866,,,,,,
B28B1389,002,23-06-2012,132,120,871,,,,,,
B28B1389,002,24-06-2012,132,120,871,,,,,,
B28B1389,002,25-06-2012,128,116,875,,,,,,
B28B1389,002,26-06-2012,131,119,872,,,,,,
B28B1389,002,27-06-2012,131,119,872,,,,,,
B28B1389,002,28-06-2012,131,119,872,,,,,,
B28B1389,002,29-06-2012,131,119,872,,,,,,
B28B1389,002,30-06-2012,134,122,869,,,,,,
B28B1389,002,01-07-2012,137,125,866,,,,,,
B28B1389,002,02-07-2012,139,127,864,,,,,,
B28B1389,002,03-07-2012,140,128,863,,,,,,
B28B1389,002,04-07-2012,141,129,862,,,,,,
B28B1389,002,05-07-2012,142,130,861,,,,,,
B28B1389,002,06-07-2012,144,132,859,,,,,,
B28B1389,002,07-07-2012,141,129,862,,,,,,
B28B1389,002,08-07-2012,143,131,860,,,,,,
B28B1389,002,09-07-2012,143,131,860,,,,,,
B28B1389,002,10-07-2012,143,131,860,,,,,,
B28B1389,002,11-07-2012,142,130,861,,,,,,
B28B1389,002,12-07-2012,143,131,860,,,,,,
B28B1389,002,13-07-2012,143,131,860,,,,,,
B28B1389,002,14-07-2012,141,129,862,,,,,,
B28B1389,002,15-07-2012,142,130,861,,,,,,
B28B1389,002,16-07-2012,144,132,859,,,,,,
B28B1389,002,17-07-2012,145,133,858,,,,,,
B28B1389,002,18-07-2012,137,125,866,,,,,,
B28B1389,002,19-07-2012,134,122,869,,,,,,
B28B1389,002,20-07-2012,131,119,872,,,,,,
B28B1389,002,21-07-2012,129,117,874,,,,,,
B28B1389,002,22-07-2012,130,118,873,,,,,,
B28B1389,002,23-07-2012,131,119,872,,,,,,
B28B1389,002,24-07-2012,132,120,871,,,,,,
B28B1389,002,25-07-2012,133,121,870,,,,,,
B28B1389,002,26-07-2012,136,124,867,,,,,,
B28B1389,002,27-07-2012,140,128,863,,,,,,
B28B1389,002,28-07-2012,140,128,863,,,,,,
B28B1389,002,29-07-2012,138,126,865,,,,,,
B28B1389,002,30-07-2012,139,127,864,,,,,,
B28B1389,002,31-07-2012,140,128,863,,,,,,
B28B1389,002,01-08-2012,139,127,864,,,,,,
B28B1389,002,02-08-2012,140,128,863,,,,,,
B28B1389,002,03-08-2012,144,132,859,,,,,,
B28B1389,002,04-08-2012,145,133,858,,,,,,
B28B1389,002,05-08-2012,147,135,856,,,,,,
B28B1389,002,06-08-2012,148,136,855,,,,,,
B28B1389,002,07-08-2012,150,138,853,,,,,,
B28B1389,002,08-08-2012,153,141,850,,,,,,
B28B1389,002,09-08-2012,154,142,849,,,,,,
B28B1389,002,10-08-2012,157,145,846,,,,,,
B28B1389,002,11-08-2012,159,147,844,,,,,,
B28B1389,002,12-08-2012,160,148,843,,,,,,
B28B1389,002,13-08-2012,162,150,841,,,,,,
B28B1389,002,14-08-2012,165,153,838,,,,,,
B28B1389,002,15-08-2012,168,156,835,,,,,,
B28B1389,002,16-08-2012,169,157,834,,,,,,
B28B1389,002,17-08-2012,160,148,843,,,,,,
B28B1389,002,18-08-2012,162,150,841,,,,,,
B28B1389,002,19-08-2012,166,154,837,,,,,,
B28B1389,002,20-08-2012,169,157,834,,,,,,
B28B1389,002,21-08-2012,173,161,830,,,,,,
B28B1389,002,22-08-2012,174,162,829,,,,,,
B28B1389,002,23-08-2012,177,165,826,,,,,,
B28B1389,002,24-08-2012,178,166,825,,,,,,
B28B1389,002,25-08-2012,179,167,824,,,,,,
B28B1389,002,26-08-2012,181,169,822,,,,,,
B28B1389,002,27-08-2012,179,167,824,,,,,,
B28B1389,002,28-08-2012,162,150,841,,,,,,
B28B1389,002,29-08-2012,162,150,841,,,,,,
B28B1389,002,30-08-2012,165,153,838,,,,,,
B28B1389,002,31-08-2012,168,156,835,,,,,,
B28B1389,002,01-09-2012,171,159,832,,,,,,
B28B1389,002,02-09-2012,171,159,832,,,,,,
B28B1389,002,03-09-2012,174,162,829,,,,,,
B28B1389,002,04-09-2012,177,165,826,,,,,,
B28B1389,002,05-09-2012,178,166,825,,,,,,
B28B1389,002,06-09-2012,181,169,822,,,,,,
B28B1389,002,07-09-2012,183,171,820,,,,,,
B28B1389,002,08-09-2012,184,172,819,,,,,,
B28B1389,002,09-09-2012,186,174,817,,,,,,
B28B1389,002,10-09-2012,186,174,817,,,,,,
B28B1389,002,11-09-2012,188,176,815,,,,,,
B28B1389,002,12-09-2012,189,177,814,,,,,,
B28B1389,002,13-09-2012,190,178,813,,,,,,
B28B1389,002,14-09-2012,192,180,811,,,,,,
B28B1389,002,15-09-2012,191,179,812,,,,,,
B28B1389,002,16-09-2012,193,181,810,,,,,,
B28B1389,002,17-09-2012,194,182,809,,,,,,
B28B1389,002,18-09-2012,195,183,808,,,,,,
B28B1389,002,19-09-2012,196,184,807,,,,,,
B28B1389,002,20-09-2012,197,185,806,,,,,,
B28B1389,002,21-09-2012,193,181,810,,,,,,
B28B1389,002,22-09-2012,193,181,810,,,,,,
B28B1389,002,23-09-2012,196,184,807,,,,,,
B28B1389,002,24-09-2012,197,185,806,,,,,,
B28B1389,002,25-09-2012,185,173,818,,,,,,
B28B1389,002,26-09-2012,181,169,822,,,,,,
B28B1389,002,27-09-2012,181,169,822,,,,,,
B28B1389,002,28-09-2012,182,170,821,,,,,,
B28B1389,002,29-09-2012,185,173,818,,,,,,
B28B1389,002,30-09-2012,186,174,817,,,,,,
B28B1389,002,01-10-2012,186,174,817,,,,,,
B28B1389,002,02-10-2012,187,175,816,,,,,,
B28B1389,002,03-10-2012,189,177,814,,,,,,
B28B1389,002,04-10-2012,189,177,814,,,,,,
B28B1389,002,05-10-2012,178,166,825,,,,,,
B28B1389,002,06-10-2012,170,158,833,,,,,,
B28B1389,002,07-10-2012,161,149,842,,,,,,
B28B1389,002,08-10-2012,157,145,846,,,,,,
B28B1389,002,09-10-2012,152,140,851,,,,,,
B28B1389,002,10-10-2012,151,139,852,,,,,,
B28B1389,002,11-10-2012,150,138,853,,,,,,
B28B1389,002,25-04-2013,114,102,889,,,,,,
B28B1389,002,26-04-2013,114,102,889,,,,,,
B28B1389,002,27-04-2013,113,101,890,,,,,,
B28B1389,002,28-04-2013,115,103,888,,,,,,
B28B1389,002,29-04-2013,115,103,888,,,,,,
B28B1389,002,30-04-2013,118,106,885,,,,,,
B28B1389,002,01-05-2013,116,104,887,,,,,,
B28B1389,002,02-05-2013,118,106,885,,,,,,
B28B1389,002,03-05-2013,118,106,885,,,,,,
B28B1389,002,04-05-2013,119,107,884,,,,,,
B28B1389,002,05-05-2013,121,109,882,,,,,,
B28B1389,002,06-05-2013,120,108,883,,,,,,
B28B1389,002,07-05-2013,120,108,883,,,,,,
B28B1389,002,08-05-2013,120,108,883,,,,,,
B28B1389,002,09-05-2013,123,111,880,,,,,,
B28B1389,002,10-05-2013,123,111,880,,,,,,
B28B1389,002,11-05-2013,123,111,880,,,,,,
B28B1389,002,12-05-2013,124,112,879,,,,,,
B28B1389,002,13-05-2013,123,111,880,,,,,,
B28B1389,002,14-05-2013,123,111,880,,,,,,
B28B1389,002,15-05-2013,122,110,881,,,,,,
B28B1389,002,16-05-2013,123,111,880,,,,,,
B28B1389,002,17-05-2013,123,111,880,,,,,,
B28B1389,002,18-05-2013,123,111,880,,,,,,
B28B1389,002,19-05-2013,123,111,880,,,,,,
B28B1389,002,20-05-2013,123,111,880,,,,,,
B28B1389,002,21-05-2013,124,112,879,,,,,,
B28B1389,002,22-05-2013,123,111,880,,,,,,
B28B1389,002,23-05-2013,121,109,882,,,,,,
B28B1389,002,24-05-2013,123,111,880,,,,,,
B28B1389,002,25-05-2013,124,112,879,,,,,,
B28B1389,002,26-05-2013,119,107,884,,,,,,
B28B1389,002,27-05-2013,119,107,884,,,,,,
B28B1389,002,28-05-2013,118,106,885,,,,,,
B28B1389,002,29-05-2013,118,106,885,,,,,,
B28B1389,002,30-05-2013,121,109,882,,,,,,
B28B1389,002,31-05-2013,122,110,881,,,,,,
B28B1389,002,01-06-2013,124,112,879,,,,,,
B28B1389,002,02-06-2013,126,114,877,,,,,,
B28B1389,002,03-06-2013,127,115,876,,,,,,
B28B1389,002,04-06-2013,127,115,876,,,,,,
B28B1389,002,05-06-2013,128,116,875,,,,,,
B28B1389,002,06-06-2013,130,118,873,,,,,,
B28B1389,002,07-06-2013,131,119,872,,,,,,
B28B1389,002,08-06-2013,132,120,871,,,,,,
B28B1389,002,09-06-2013,132,120,871,,,,,,
B28B1389,002,10-06-2013,135,123,868,,,,,,
B28B1389,002,11-06-2013,137,125,866,,,,,,
B28B1389,002,12-06-2013,137,125,866,,,,,,
B28B1389,002,13-06-2013,138,126,865,,,,,,
B28B1389,002,14-06-2013,140,128,863,,,,,,
B28B1389,002,15-06-2013,138,126,865,,,,,,
B28B1389,002,16-06-2013,143,131,860,,,,,,
B28B1389,002,17-06-2013,144,132,859,,,,,,
B28B1389,002,18-06-2013,146,134,857,,,,,,
B28B1389,002,19-06-2013,148,136,855,,,,,,
