Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,30-10-2015,tot:,18-09-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28H1883,001,,256056,484978,1855,26-08-2015,26-08-2015,18-09-2019,1981,126,1739,1709


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28H1883,001,30-10-2015,124,-2,1857,,,,,,
B28H1883,001,31-10-2015,124,-2,1857,,,,,,
B28H1883,001,01-11-2015,124,-2,1857,,,,,,
B28H1883,001,02-11-2015,123,-3,1858,,,,,,
B28H1883,001,03-11-2015,123,-3,1858,,,,,,
B28H1883,001,04-11-2015,124,-2,1857,,,,,,
B28H1883,001,05-11-2015,124,-2,1857,,,,,,
B28H1883,001,06-11-2015,121,-5,1860,,,,,,
B28H1883,001,07-11-2015,121,-5,1860,,,,,,
B28H1883,001,08-11-2015,120,-6,1861,,,,,,
B28H1883,001,09-11-2015,121,-5,1860,,,,,,
B28H1883,001,10-11-2015,120,-6,1861,,,,,,
B28H1883,001,11-11-2015,120,-6,1861,,,,,,
B28H1883,001,12-11-2015,121,-5,1860,,,,,,
B28H1883,001,13-11-2015,121,-5,1860,,,,,,
B28H1883,001,14-11-2015,120,-6,1861,,,,,,
B28H1883,001,15-11-2015,116,-10,1865,,,,,,
B28H1883,001,16-11-2015,117,-9,1864,,,,,,
B28H1883,001,17-11-2015,117,-9,1864,,,,,,
B28H1883,001,18-11-2015,118,-8,1863,,,,,,
B28H1883,001,19-11-2015,116,-10,1865,,,,,,
B28H1883,001,20-11-2015,116,-10,1865,,,,,,
B28H1883,001,21-11-2015,116,-10,1865,,,,,,
B28H1883,001,22-11-2015,116,-10,1865,,,,,,
B28H1883,001,23-11-2015,117,-9,1864,,,,,,
B28H1883,001,24-11-2015,117,-9,1864,,,,,,
B28H1883,001,25-11-2015,115,-11,1866,,,,,,
B28H1883,001,26-11-2015,116,-10,1865,,,,,,
B28H1883,001,27-11-2015,116,-10,1865,,,,,,
B28H1883,001,28-11-2015,116,-10,1865,,,,,,
B28H1883,001,29-11-2015,115,-11,1866,,,,,,
B28H1883,001,30-11-2015,114,-12,1867,,,,,,
B28H1883,001,01-12-2015,112,-14,1869,,,,,,
B28H1883,001,02-12-2015,114,-12,1867,,,,,,
B28H1883,001,03-12-2015,115,-11,1866,,,,,,
B28H1883,001,04-12-2015,115,-11,1866,,,,,,
B28H1883,001,05-12-2015,115,-11,1866,,,,,,
B28H1883,001,06-12-2015,116,-10,1865,,,,,,
B28H1883,001,07-12-2015,116,-10,1865,,,,,,
B28H1883,001,08-12-2015,116,-10,1865,,,,,,
B28H1883,001,09-12-2015,116,-10,1865,,,,,,
B28H1883,001,10-12-2015,116,-10,1865,,,,,,
B28H1883,001,11-12-2015,114,-12,1867,,,,,,
B28H1883,001,12-12-2015,115,-11,1866,,,,,,
B28H1883,001,13-12-2015,113,-13,1868,,,,,,
B28H1883,001,14-12-2015,114,-12,1867,,,,,,
B28H1883,001,15-12-2015,115,-11,1866,,,,,,
B28H1883,001,16-12-2015,115,-11,1866,,,,,,
B28H1883,001,17-12-2015,115,-11,1866,,,,,,
B28H1883,001,18-12-2015,116,-10,1865,,,,,,
B28H1883,001,19-12-2015,116,-10,1865,,,,,,
B28H1883,001,20-12-2015,117,-9,1864,,,,,,
B28H1883,001,21-12-2015,114,-12,1867,,,,,,
B28H1883,001,22-12-2015,114,-12,1867,,,,,,
B28H1883,001,23-12-2015,115,-11,1866,,,,,,
B28H1883,001,24-12-2015,115,-11,1866,,,,,,
B28H1883,001,25-12-2015,116,-10,1865,,,,,,
B28H1883,001,26-12-2015,116,-10,1865,,,,,,
B28H1883,001,27-12-2015,116,-10,1865,,,,,,
B28H1883,001,28-12-2015,116,-10,1865,,,,,,
B28H1883,001,29-12-2015,116,-10,1865,,,,,,
B28H1883,001,30-12-2015,117,-9,1864,,,,,,
B28H1883,001,31-12-2015,117,-9,1864,,,,,,
B28H1883,001,01-01-2016,116,-10,1865,,,,,,
B28H1883,001,02-01-2016,116,-10,1865,,,,,,
B28H1883,001,03-01-2016,115,-11,1866,,,,,,
B28H1883,001,04-01-2016,114,-12,1867,,,,,,
B28H1883,001,05-01-2016,114,-12,1867,,,,,,
B28H1883,001,06-01-2016,114,-12,1867,,,,,,
B28H1883,001,07-01-2016,115,-11,1866,,,,,,
B28H1883,001,08-01-2016,114,-12,1867,,,,,,
