Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,29-10-2015,tot:,11-09-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28F1490,002,,259592,490035,2020,18-08-2015,18-08-2015,11-09-2019,2076,56,1766,1716


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28F1490,002,29-10-2015,117,61,1959,,,,,,
B28F1490,002,30-10-2015,118,62,1958,,,,,,
B28F1490,002,31-10-2015,119,63,1957,,,,,,
B28F1490,002,01-11-2015,121,65,1955,,,,,,
B28F1490,002,02-11-2015,120,64,1956,,,,,,
B28F1490,002,03-11-2015,121,65,1955,,,,,,
B28F1490,002,04-11-2015,123,67,1953,,,,,,
B28F1490,002,05-11-2015,124,68,1952,,,,,,
B28F1490,002,06-11-2015,112,56,1964,,,,,,
B28F1490,002,07-11-2015,103,47,1973,,,,,,
B28F1490,002,08-11-2015,104,48,1972,,,,,,
B28F1490,002,09-11-2015,104,48,1972,,,,,,
B28F1490,002,10-11-2015,103,47,1973,,,,,,
B28F1490,002,11-11-2015,100,44,1976,,,,,,
B28F1490,002,12-11-2015,104,48,1972,,,,,,
B28F1490,002,13-11-2015,106,50,1970,,,,,,
B28F1490,002,14-11-2015,102,46,1974,,,,,,
B28F1490,002,15-11-2015,72,16,2004,,,,,,
B28F1490,002,16-11-2015,67,11,2009,,,,,,
B28F1490,002,17-11-2015,67,11,2009,,,,,,
B28F1490,002,18-11-2015,69,13,2007,,,,,,
B28F1490,002,19-11-2015,67,11,2009,,,,,,
B28F1490,002,20-11-2015,67,11,2009,,,,,,
B28F1490,002,21-11-2015,69,13,2007,,,,,,
B28F1490,002,22-11-2015,70,14,2006,,,,,,
B28F1490,002,23-11-2015,72,16,2004,,,,,,
B28F1490,002,24-11-2015,71,15,2005,,,,,,
B28F1490,002,25-11-2015,69,13,2007,,,,,,
B28F1490,002,26-11-2015,73,17,2003,,,,,,
B28F1490,002,27-11-2015,73,17,2003,,,,,,
B28F1490,002,28-11-2015,74,18,2002,,,,,,
B28F1490,002,29-11-2015,70,14,2006,,,,,,
B28F1490,002,30-11-2015,64,8,2012,,,,,,
B28F1490,002,01-12-2015,60,4,2016,,,,,,
B28F1490,002,02-12-2015,63,7,2013,,,,,,
B28F1490,002,03-12-2015,65,9,2011,,,,,,
