Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,29-10-2015,tot:,11-09-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28F1490,001,,259592,490035,2020,18-08-2015,18-08-2015,11-09-2019,2077,57,1912,1882


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28F1490,001,29-10-2015,119,62,1958,,,,,,
B28F1490,001,30-10-2015,120,63,1957,,,,,,
B28F1490,001,31-10-2015,121,64,1956,,,,,,
B28F1490,001,01-11-2015,123,66,1954,,,,,,
B28F1490,001,02-11-2015,123,66,1954,,,,,,
B28F1490,001,03-11-2015,123,66,1954,,,,,,
B28F1490,001,04-11-2015,125,68,1952,,,,,,
B28F1490,001,05-11-2015,126,69,1951,,,,,,
B28F1490,001,06-11-2015,114,57,1963,,,,,,
B28F1490,001,07-11-2015,105,48,1972,,,,,,
B28F1490,001,08-11-2015,106,49,1971,,,,,,
B28F1490,001,09-11-2015,106,49,1971,,,,,,
B28F1490,001,10-11-2015,105,48,1972,,,,,,
B28F1490,001,11-11-2015,102,45,1975,,,,,,
B28F1490,001,12-11-2015,106,49,1971,,,,,,
B28F1490,001,13-11-2015,108,51,1969,,,,,,
B28F1490,001,14-11-2015,104,47,1973,,,,,,
B28F1490,001,15-11-2015,75,18,2002,,,,,,
B28F1490,001,16-11-2015,69,12,2008,,,,,,
B28F1490,001,17-11-2015,69,12,2008,,,,,,
B28F1490,001,18-11-2015,71,14,2006,,,,,,
B28F1490,001,19-11-2015,69,12,2008,,,,,,
B28F1490,001,20-11-2015,69,12,2008,,,,,,
B28F1490,001,21-11-2015,71,14,2006,,,,,,
B28F1490,001,22-11-2015,72,15,2005,,,,,,
B28F1490,001,23-11-2015,74,17,2003,,,,,,
B28F1490,001,24-11-2015,74,17,2003,,,,,,
B28F1490,001,25-11-2015,72,15,2005,,,,,,
B28F1490,001,26-11-2015,75,18,2002,,,,,,
B28F1490,001,27-11-2015,76,19,2001,,,,,,
B28F1490,001,28-11-2015,76,19,2001,,,,,,
B28F1490,001,29-11-2015,72,15,2005,,,,,,
B28F1490,001,30-11-2015,66,9,2011,,,,,,
B28F1490,001,01-12-2015,62,5,2015,,,,,,
B28F1490,001,02-12-2015,65,8,2012,,,,,,
B28F1490,001,03-12-2015,67,10,2010,,,,,,
