Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,29-10-2015,tot:,28-08-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B29A0849,003,,265074,495009,2059,02-09-2015,02-09-2015,26-10-2015,2126,67,682,582
B29A0849,003,,265074,495009,2059,26-10-2015,26-10-2015,28-08-2019,2126,67,682,582


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B29A0849,003,29-10-2015,153,86,1973,,,,,,
B29A0849,003,30-10-2015,155,88,1971,,,,,,
B29A0849,003,31-10-2015,155,88,1971,,,,,,
B29A0849,003,01-11-2015,157,90,1969,,,,,,
B29A0849,003,02-11-2015,156,89,1970,,,,,,
B29A0849,003,03-11-2015,157,90,1969,,,,,,
B29A0849,003,04-11-2015,158,91,1968,,,,,,
B29A0849,003,05-11-2015,158,91,1968,,,,,,
B29A0849,003,06-11-2015,155,88,1971,,,,,,
B29A0849,003,07-11-2015,152,85,1974,,,,,,
B29A0849,003,08-11-2015,152,85,1974,,,,,,
B29A0849,003,09-11-2015,151,84,1975,,,,,,
B29A0849,003,10-11-2015,151,84,1975,,,,,,
B29A0849,003,11-11-2015,149,82,1977,,,,,,
B29A0849,003,12-11-2015,150,83,1976,,,,,,
B29A0849,003,13-11-2015,151,84,1975,,,,,,
B29A0849,003,14-11-2015,148,81,1978,,,,,,
B29A0849,003,15-11-2015,136,69,1990,,,,,,
B29A0849,003,16-11-2015,127,60,1999,,,,,,
B29A0849,003,17-11-2015,121,54,2005,,,,,,
B29A0849,003,18-11-2015,119,52,2007,,,,,,
B29A0849,003,19-11-2015,114,47,2012,,,,,,
B29A0849,003,20-11-2015,113,46,2013,,,,,,
B29A0849,003,21-11-2015,114,47,2012,,,,,,
B29A0849,003,22-11-2015,115,48,2011,,,,,,
B29A0849,003,23-11-2015,119,52,2007,,,,,,
B29A0849,003,24-11-2015,119,52,2007,,,,,,
B29A0849,003,25-11-2015,113,46,2013,,,,,,
B29A0849,003,26-11-2015,117,50,2009,,,,,,
B29A0849,003,27-11-2015,118,51,2008,,,,,,
B29A0849,003,28-11-2015,117,50,2009,,,,,,
B29A0849,003,29-11-2015,113,46,2013,,,,,,
B29A0849,003,30-11-2015,107,40,2019,,,,,,
B29A0849,003,01-12-2015,97,30,2029,,,,,,
B29A0849,003,02-12-2015,97,30,2029,,,,,,
B29A0849,003,03-12-2015,100,33,2026,,,,,,
B29A0849,003,04-12-2015,100,33,2026,,,,,,
B29A0849,003,05-12-2015,102,35,2024,,,,,,
B29A0849,003,06-12-2015,105,38,2021,,,,,,
B29A0849,003,07-12-2015,108,41,2018,,,,,,
B29A0849,003,08-12-2015,110,43,2016,,,,,,
B29A0849,003,09-12-2015,109,42,2017,,,,,,
B29A0849,003,10-12-2015,111,44,2015,,,,,,
B29A0849,003,11-12-2015,102,35,2024,,,,,,
B29A0849,003,12-12-2015,102,35,2024,,,,,,
B29A0849,003,13-12-2015,94,27,2032,,,,,,
B29A0849,003,14-12-2015,95,28,2031,,,,,,
B29A0849,003,15-12-2015,99,32,2027,,,,,,
B29A0849,003,16-12-2015,101,34,2025,,,,,,
B29A0849,003,17-12-2015,101,34,2025,,,,,,
B29A0849,003,18-12-2015,102,35,2024,,,,,,
B29A0849,003,19-12-2015,105,38,2021,,,,,,
B29A0849,003,20-12-2015,107,40,2019,,,,,,
B29A0849,003,21-12-2015,105,38,2021,,,,,,
B29A0849,003,22-12-2015,100,33,2026,,,,,,
B29A0849,003,23-12-2015,102,35,2024,,,,,,
B29A0849,003,24-12-2015,105,38,2021,,,,,,
B29A0849,003,25-12-2015,108,41,2018,,,,,,
B29A0849,003,26-12-2015,109,42,2017,,,,,,
B29A0849,003,27-12-2015,112,45,2014,,,,,,
B29A0849,003,28-12-2015,114,47,2012,,,,,,
B29A0849,003,29-12-2015,115,48,2011,,,,,,
B29A0849,003,30-12-2015,117,50,2009,,,,,,
B29A0849,003,31-12-2015,117,50,2009,,,,,,
B29A0849,003,01-01-2016,119,52,2007,,,,,,
B29A0849,003,02-01-2016,119,52,2007,,,,,,
B29A0849,003,03-01-2016,116,49,2010,,,,,,
B29A0849,003,04-01-2016,110,43,2016,,,,,,
B29A0849,003,05-01-2016,111,44,2015,,,,,,
B29A0849,003,06-01-2016,112,45,2014,,,,,,
B29A0849,003,07-01-2016,113,46,2013,,,,,,
B29A0849,003,08-01-2016,102,35,2024,,,,,,
B29A0849,003,09-01-2016,101,34,2025,,,,,,
B29A0849,003,10-01-2016,102,35,2024,,,,,,
B29A0849,003,11-01-2016,104,37,2022,,,,,,
B29A0849,003,12-01-2016,104,37,2022,,,,,,
B29A0849,003,13-01-2016,107,40,2019,,,,,,
B29A0849,003,14-01-2016,106,39,2020,,,,,,
B29A0849,003,15-01-2016,98,31,2028,,,,,,
B29A0849,003,16-01-2016,97,30,2029,,,,,,
B29A0849,003,17-01-2016,100,33,2026,,,,,,
B29A0849,003,18-01-2016,103,36,2023,,,,,,
B29A0849,003,19-01-2016,106,39,2020,,,,,,
B29A0849,003,20-01-2016,109,42,2017,,,,,,
B29A0849,003,21-01-2016,110,43,2016,,,,,,
B29A0849,003,22-01-2016,112,45,2014,,,,,,
B29A0849,003,23-01-2016,109,42,2017,,,,,,
B29A0849,003,24-01-2016,108,41,2018,,,,,,
B29A0849,003,25-01-2016,108,41,2018,,,,,,
B29A0849,003,26-01-2016,108,41,2018,,,,,,
B29A0849,003,27-01-2016,105,38,2021,,,,,,
B29A0849,003,28-01-2016,96,29,2030,,,,,,
B29A0849,003,29-01-2016,95,28,2031,,,,,,
B29A0849,003,30-01-2016,88,21,2038,,,,,,
B29A0849,003,31-01-2016,84,17,2042,,,,,,
B29A0849,003,01-02-2016,84,17,2042,,,,,,
B29A0849,003,02-02-2016,85,18,2041,,,,,,
B29A0849,003,03-02-2016,89,22,2037,,,,,,
B29A0849,003,04-02-2016,90,23,2036,,,,,,
B29A0849,003,05-02-2016,88,21,2038,,,,,,
B29A0849,003,06-02-2016,89,22,2037,,,,,,
B29A0849,003,07-02-2016,91,24,2035,,,,,,
B29A0849,003,08-02-2016,91,24,2035,,,,,,
B29A0849,003,09-02-2016,87,20,2039,,,,,,
B29A0849,003,10-02-2016,76,9,2050,,,,,,
B29A0849,003,11-02-2016,77,10,2049,,,,,,
B29A0849,003,12-02-2016,79,12,2047,,,,,,
B29A0849,003,13-02-2016,82,15,2044,,,,,,
B29A0849,003,14-02-2016,82,15,2044,,,,,,
B29A0849,003,15-02-2016,77,10,2049,,,,,,
B29A0849,003,16-02-2016,80,13,2046,,,,,,
B29A0849,003,17-02-2016,81,14,2045,,,,,,
B29A0849,003,18-02-2016,84,17,2042,,,,,,
B29A0849,003,19-02-2016,87,20,2039,,,,,,
B29A0849,003,20-02-2016,86,19,2040,,,,,,
B29A0849,003,21-02-2016,80,13,2046,,,,,,
B29A0849,003,22-02-2016,72,5,2054,,,,,,
B29A0849,003,23-02-2016,73,6,2053,,,,,,
B29A0849,003,24-02-2016,77,10,2049,,,,,,
B29A0849,003,25-02-2016,80,13,2046,,,,,,
B29A0849,003,26-02-2016,83,16,2043,,,,,,
B29A0849,003,27-02-2016,87,20,2039,,,,,,
B29A0849,003,28-02-2016,91,24,2035,,,,,,
B29A0849,003,29-02-2016,94,27,2032,,,,,,
B29A0849,003,01-03-2016,96,29,2030,,,,,,
B29A0849,003,02-03-2016,87,20,2039,,,,,,
B29A0849,003,03-03-2016,84,17,2042,,,,,,
B29A0849,003,04-03-2016,84,17,2042,,,,,,
B29A0849,003,05-03-2016,78,11,2048,,,,,,
B29A0849,003,06-03-2016,83,16,2043,,,,,,
B29A0849,003,07-03-2016,86,19,2040,,,,,,
B29A0849,003,08-03-2016,91,24,2035,,,,,,
B29A0849,003,09-03-2016,92,25,2034,,,,,,
B29A0849,003,10-03-2016,97,30,2029,,,,,,
B29A0849,003,11-03-2016,100,33,2026,,,,,,
B29A0849,003,12-03-2016,102,35,2024,,,,,,
B29A0849,003,13-03-2016,105,38,2021,,,,,,
B29A0849,003,14-03-2016,106,39,2020,,,,,,
B29A0849,003,15-03-2016,107,40,2019,,,,,,
B29A0849,003,16-03-2016,109,42,2017,,,,,,
B29A0849,003,17-03-2016,110,43,2016,,,,,,
B29A0849,003,18-03-2016,110,43,2016,,,,,,
B29A0849,003,19-03-2016,111,44,2015,,,,,,
B29A0849,003,20-03-2016,112,45,2014,,,,,,
B29A0849,003,21-03-2016,111,44,2015,,,,,,
B29A0849,003,22-03-2016,111,44,2015,,,,,,
B29A0849,003,23-03-2016,112,45,2014,,,,,,
B29A0849,003,24-03-2016,113,46,2013,,,,,,
B29A0849,003,25-03-2016,109,42,2017,,,,,,
B29A0849,003,26-03-2016,110,43,2016,,,,,,
B29A0849,003,27-03-2016,107,40,2019,,,,,,
B29A0849,003,28-03-2016,105,38,2021,,,,,,
B29A0849,003,29-03-2016,106,39,2020,,,,,,
B29A0849,003,30-03-2016,97,30,2029,,,,,,
B29A0849,003,31-03-2016,99,32,2027,,,,,,
B29A0849,003,01-04-2016,103,36,2023,,,,,,
B29A0849,003,02-04-2016,106,39,2020,,,,,,
B29A0849,003,03-04-2016,108,41,2018,,,,,,
B29A0849,003,04-04-2016,109,42,2017,,,,,,
B29A0849,003,05-04-2016,111,44,2015,,,,,,
B29A0849,003,06-04-2016,107,40,2019,,,,,,
B29A0849,003,07-04-2016,107,40,2019,,,,,,
B29A0849,003,08-04-2016,108,41,2018,,,,,,
B29A0849,003,09-04-2016,110,43,2016,,,,,,
B29A0849,003,10-04-2016,113,46,2013,,,,,,
B29A0849,003,11-04-2016,115,48,2011,,,,,,
B29A0849,003,12-04-2016,116,49,2010,,,,,,
B29A0849,003,13-04-2016,115,48,2011,,,,,,
B29A0849,003,14-04-2016,115,48,2011,,,,,,
B29A0849,003,15-04-2016,113,46,2013,,,,,,
B29A0849,003,16-04-2016,105,38,2021,,,,,,
B29A0849,003,17-04-2016,109,42,2017,,,,,,
B29A0849,003,18-04-2016,112,45,2014,,,,,,
B29A0849,003,19-04-2016,116,49,2010,,,,,,
B29A0849,003,20-04-2016,119,52,2007,,,,,,
B29A0849,003,21-04-2016,120,53,2006,,,,,,
B29A0849,003,22-04-2016,121,54,2005,,,,,,
B29A0849,003,23-04-2016,121,54,2005,,,,,,
B29A0849,003,24-04-2016,122,55,2004,,,,,,
B29A0849,003,25-04-2016,123,56,2003,,,,,,
B29A0849,003,26-04-2016,117,50,2009,,,,,,
B29A0849,003,27-04-2016,114,47,2012,,,,,,
B29A0849,003,28-04-2016,118,51,2008,,,,,,
B29A0849,003,29-04-2016,119,52,2007,,,,,,
B29A0849,003,30-04-2016,121,54,2005,,,,,,
B29A0849,003,01-05-2016,124,57,2002,,,,,,
B29A0849,003,02-05-2016,125,58,2001,,,,,,
B29A0849,003,03-05-2016,125,58,2001,,,,,,
B29A0849,003,04-05-2016,127,60,1999,,,,,,
B29A0849,003,05-05-2016,128,61,1998,,,,,,
B29A0849,003,06-05-2016,128,61,1998,,,,,,
B29A0849,003,07-05-2016,130,63,1996,,,,,,
B29A0849,003,08-05-2016,132,65,1994,,,,,,
B29A0849,003,09-05-2016,133,66,1993,,,,,,
B29A0849,003,10-05-2016,133,66,1993,,,,,,
B29A0849,003,11-05-2016,134,67,1992,,,,,,
B29A0849,003,12-05-2016,136,69,1990,,,,,,
B29A0849,003,13-05-2016,138,71,1988,,,,,,
B29A0849,003,14-05-2016,139,72,1987,,,,,,
B29A0849,003,15-05-2016,140,73,1986,,,,,,
B29A0849,003,16-05-2016,141,74,1985,,,,,,
B29A0849,003,17-05-2016,142,75,1984,,,,,,
B29A0849,003,18-05-2016,143,76,1983,,,,,,
B29A0849,003,19-05-2016,144,77,1982,,,,,,
