Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,29-10-2015,tot:,28-08-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B29A0849,002,,265074,495009,2059,02-09-2015,02-09-2015,26-10-2015,2128,69,1506,1466
B29A0849,002,,265074,495009,2059,26-10-2015,26-10-2015,28-08-2019,2128,69,1506,1466


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B29A0849,002,29-10-2015,147,78,1981,,,,,,
B29A0849,002,30-10-2015,147,78,1981,,,,,,
B29A0849,002,31-10-2015,148,79,1980,,,,,,
B29A0849,002,01-11-2015,149,80,1979,,,,,,
B29A0849,002,02-11-2015,150,81,1978,,,,,,
B29A0849,002,03-11-2015,150,81,1978,,,,,,
B29A0849,002,04-11-2015,150,81,1978,,,,,,
B29A0849,002,05-11-2015,151,82,1977,,,,,,
B29A0849,002,06-11-2015,143,74,1985,,,,,,
B29A0849,002,07-11-2015,138,69,1990,,,,,,
B29A0849,002,08-11-2015,141,72,1987,,,,,,
B29A0849,002,09-11-2015,140,71,1988,,,,,,
B29A0849,002,10-11-2015,140,71,1988,,,,,,
B29A0849,002,11-11-2015,138,69,1990,,,,,,
B29A0849,002,12-11-2015,141,72,1987,,,,,,
B29A0849,002,13-11-2015,142,73,1986,,,,,,
B29A0849,002,14-11-2015,136,67,1992,,,,,,
B29A0849,002,15-11-2015,118,49,2010,,,,,,
B29A0849,002,16-11-2015,109,40,2019,,,,,,
B29A0849,002,17-11-2015,104,35,2024,,,,,,
B29A0849,002,18-11-2015,103,34,2025,,,,,,
B29A0849,002,19-11-2015,100,31,2028,,,,,,
B29A0849,002,20-11-2015,100,31,2028,,,,,,
B29A0849,002,21-11-2015,104,35,2024,,,,,,
B29A0849,002,22-11-2015,106,37,2022,,,,,,
B29A0849,002,23-11-2015,110,41,2018,,,,,,
B29A0849,002,24-11-2015,111,42,2017,,,,,,
B29A0849,002,25-11-2015,103,34,2025,,,,,,
B29A0849,002,26-11-2015,108,39,2020,,,,,,
B29A0849,002,27-11-2015,111,42,2017,,,,,,
B29A0849,002,28-11-2015,108,39,2020,,,,,,
B29A0849,002,29-11-2015,102,33,2026,,,,,,
B29A0849,002,30-11-2015,96,27,2032,,,,,,
B29A0849,002,01-12-2015,86,17,2042,,,,,,
B29A0849,002,02-12-2015,88,19,2040,,,,,,
B29A0849,002,03-12-2015,93,24,2035,,,,,,
B29A0849,002,04-12-2015,92,23,2036,,,,,,
B29A0849,002,05-12-2015,96,27,2032,,,,,,
B29A0849,002,06-12-2015,100,31,2028,,,,,,
B29A0849,002,07-12-2015,103,34,2025,,,,,,
B29A0849,002,08-12-2015,104,35,2024,,,,,,
B29A0849,002,09-12-2015,103,34,2025,,,,,,
B29A0849,002,10-12-2015,105,36,2023,,,,,,
B29A0849,002,11-12-2015,92,23,2036,,,,,,
B29A0849,002,12-12-2015,96,27,2032,,,,,,
B29A0849,002,13-12-2015,86,17,2042,,,,,,
B29A0849,002,14-12-2015,89,20,2039,,,,,,
B29A0849,002,15-12-2015,94,25,2034,,,,,,
B29A0849,002,16-12-2015,95,26,2033,,,,,,
B29A0849,002,17-12-2015,94,25,2034,,,,,,
B29A0849,002,18-12-2015,97,28,2031,,,,,,
B29A0849,002,19-12-2015,100,31,2028,,,,,,
B29A0849,002,20-12-2015,102,33,2026,,,,,,
B29A0849,002,21-12-2015,97,28,2031,,,,,,
B29A0849,002,22-12-2015,92,23,2036,,,,,,
B29A0849,002,23-12-2015,96,27,2032,,,,,,
B29A0849,002,24-12-2015,99,30,2029,,,,,,
B29A0849,002,25-12-2015,103,34,2025,,,,,,
B29A0849,002,26-12-2015,104,35,2024,,,,,,
B29A0849,002,27-12-2015,107,38,2021,,,,,,
B29A0849,002,28-12-2015,109,40,2019,,,,,,
B29A0849,002,29-12-2015,111,42,2017,,,,,,
B29A0849,002,30-12-2015,113,44,2015,,,,,,
B29A0849,002,31-12-2015,113,44,2015,,,,,,
B29A0849,002,01-01-2016,115,46,2013,,,,,,
B29A0849,002,02-01-2016,115,46,2013,,,,,,
B29A0849,002,03-01-2016,108,39,2020,,,,,,
B29A0849,002,04-01-2016,102,33,2026,,,,,,
B29A0849,002,05-01-2016,105,36,2023,,,,,,
B29A0849,002,06-01-2016,105,36,2023,,,,,,
B29A0849,002,07-01-2016,106,37,2022,,,,,,
B29A0849,002,08-01-2016,92,23,2036,,,,,,
B29A0849,002,09-01-2016,94,25,2034,,,,,,
B29A0849,002,10-01-2016,96,27,2032,,,,,,
B29A0849,002,11-01-2016,99,30,2029,,,,,,
B29A0849,002,12-01-2016,97,28,2031,,,,,,
B29A0849,002,13-01-2016,101,32,2027,,,,,,
B29A0849,002,14-01-2016,100,31,2028,,,,,,
B29A0849,002,15-01-2016,89,20,2039,,,,,,
B29A0849,002,16-01-2016,91,22,2037,,,,,,
B29A0849,002,17-01-2016,95,26,2033,,,,,,
B29A0849,002,18-01-2016,97,28,2031,,,,,,
B29A0849,002,19-01-2016,102,33,2026,,,,,,
B29A0849,002,20-01-2016,104,35,2024,,,,,,
B29A0849,002,21-01-2016,104,35,2024,,,,,,
B29A0849,002,22-01-2016,106,37,2022,,,,,,
B29A0849,002,23-01-2016,99,30,2029,,,,,,
B29A0849,002,24-01-2016,100,31,2028,,,,,,
B29A0849,002,25-01-2016,100,31,2028,,,,,,
B29A0849,002,26-01-2016,102,33,2026,,,,,,
B29A0849,002,27-01-2016,97,28,2031,,,,,,
B29A0849,002,28-01-2016,87,18,2041,,,,,,
B29A0849,002,29-01-2016,89,20,2039,,,,,,
B29A0849,002,30-01-2016,78,9,2050,,,,,,
B29A0849,002,31-01-2016,78,9,2050,,,,,,
B29A0849,002,01-02-2016,78,9,2050,,,,,,
B29A0849,002,02-02-2016,81,12,2047,,,,,,
B29A0849,002,03-02-2016,85,16,2043,,,,,,
B29A0849,002,04-02-2016,84,15,2044,,,,,,
B29A0849,002,05-02-2016,83,14,2045,,,,,,
B29A0849,002,06-02-2016,85,16,2043,,,,,,
B29A0849,002,07-02-2016,88,19,2040,,,,,,
B29A0849,002,08-02-2016,86,17,2042,,,,,,
B29A0849,002,09-02-2016,81,12,2047,,,,,,
B29A0849,002,10-02-2016,71,2,2057,,,,,,
B29A0849,002,11-02-2016,73,4,2055,,,,,,
B29A0849,002,12-02-2016,77,8,2051,,,,,,
B29A0849,002,13-02-2016,80,11,2048,,,,,,
B29A0849,002,14-02-2016,79,10,2049,,,,,,
B29A0849,002,15-02-2016,73,4,2055,,,,,,
B29A0849,002,16-02-2016,76,7,2052,,,,,,
B29A0849,002,17-02-2016,78,9,2050,,,,,,
B29A0849,002,18-02-2016,82,13,2046,,,,,,
B29A0849,002,19-02-2016,84,15,2044,,,,,,
B29A0849,002,20-02-2016,82,13,2046,,,,,,
B29A0849,002,21-02-2016,74,5,2054,,,,,,
B29A0849,002,22-02-2016,68,-1,2060,,,,,,
B29A0849,002,23-02-2016,71,2,2057,,,,,,
B29A0849,002,24-02-2016,75,6,2053,,,,,,
B29A0849,002,25-02-2016,79,10,2049,,,,,,
B29A0849,002,26-02-2016,82,13,2046,,,,,,
B29A0849,002,27-02-2016,84,15,2044,,,,,,
B29A0849,002,28-02-2016,88,19,2040,,,,,,
B29A0849,002,29-02-2016,90,21,2038,,,,,,
B29A0849,002,01-03-2016,92,23,2036,,,,,,
B29A0849,002,02-03-2016,81,12,2047,,,,,,
B29A0849,002,03-03-2016,79,10,2049,,,,,,
B29A0849,002,04-03-2016,80,11,2048,,,,,,
B29A0849,002,05-03-2016,75,6,2053,,,,,,
B29A0849,002,06-03-2016,80,11,2048,,,,,,
B29A0849,002,07-03-2016,83,14,2045,,,,,,
B29A0849,002,08-03-2016,87,18,2041,,,,,,
B29A0849,002,09-03-2016,88,19,2040,,,,,,
B29A0849,002,10-03-2016,93,24,2035,,,,,,
B29A0849,002,11-03-2016,96,27,2032,,,,,,
B29A0849,002,12-03-2016,97,28,2031,,,,,,
B29A0849,002,13-03-2016,100,31,2028,,,,,,
B29A0849,002,14-03-2016,101,32,2027,,,,,,
B29A0849,002,15-03-2016,102,33,2026,,,,,,
B29A0849,002,16-03-2016,104,35,2024,,,,,,
B29A0849,002,17-03-2016,105,36,2023,,,,,,
B29A0849,002,18-03-2016,105,36,2023,,,,,,
B29A0849,002,19-03-2016,106,37,2022,,,,,,
B29A0849,002,20-03-2016,107,38,2021,,,,,,
B29A0849,002,21-03-2016,104,35,2024,,,,,,
B29A0849,002,22-03-2016,105,36,2023,,,,,,
B29A0849,002,23-03-2016,106,37,2022,,,,,,
B29A0849,002,24-03-2016,108,39,2020,,,,,,
B29A0849,002,25-03-2016,99,30,2029,,,,,,
B29A0849,002,26-03-2016,101,32,2027,,,,,,
B29A0849,002,27-03-2016,98,29,2030,,,,,,
B29A0849,002,28-03-2016,97,28,2031,,,,,,
B29A0849,002,29-03-2016,98,29,2030,,,,,,
B29A0849,002,30-03-2016,87,18,2041,,,,,,
B29A0849,002,31-03-2016,91,22,2037,,,,,,
B29A0849,002,01-04-2016,96,27,2032,,,,,,
B29A0849,002,02-04-2016,98,29,2030,,,,,,
B29A0849,002,03-04-2016,101,32,2027,,,,,,
B29A0849,002,04-04-2016,102,33,2026,,,,,,
B29A0849,002,05-04-2016,105,36,2023,,,,,,
B29A0849,002,06-04-2016,97,28,2031,,,,,,
B29A0849,002,07-04-2016,98,29,2030,,,,,,
B29A0849,002,08-04-2016,99,30,2029,,,,,,
B29A0849,002,09-04-2016,101,32,2027,,,,,,
B29A0849,002,10-04-2016,106,37,2022,,,,,,
B29A0849,002,11-04-2016,108,39,2020,,,,,,
B29A0849,002,12-04-2016,109,40,2019,,,,,,
B29A0849,002,13-04-2016,106,37,2022,,,,,,
B29A0849,002,14-04-2016,106,37,2022,,,,,,
B29A0849,002,15-04-2016,102,33,2026,,,,,,
B29A0849,002,16-04-2016,93,24,2035,,,,,,
B29A0849,002,17-04-2016,100,31,2028,,,,,,
B29A0849,002,18-04-2016,104,35,2024,,,,,,
B29A0849,002,19-04-2016,108,39,2020,,,,,,
B29A0849,002,20-04-2016,111,42,2017,,,,,,
B29A0849,002,21-04-2016,113,44,2015,,,,,,
B29A0849,002,22-04-2016,114,45,2014,,,,,,
B29A0849,002,23-04-2016,115,46,2013,,,,,,
B29A0849,002,24-04-2016,116,47,2012,,,,,,
B29A0849,002,25-04-2016,116,47,2012,,,,,,
B29A0849,002,26-04-2016,106,37,2022,,,,,,
B29A0849,002,27-04-2016,101,32,2027,,,,,,
B29A0849,002,28-04-2016,107,38,2021,,,,,,
B29A0849,002,29-04-2016,111,42,2017,,,,,,
B29A0849,002,30-04-2016,113,44,2015,,,,,,
B29A0849,002,01-05-2016,116,47,2012,,,,,,
B29A0849,002,02-05-2016,117,48,2011,,,,,,
B29A0849,002,03-05-2016,117,48,2011,,,,,,
B29A0849,002,04-05-2016,120,51,2008,,,,,,
B29A0849,002,05-05-2016,121,52,2007,,,,,,
B29A0849,002,06-05-2016,122,53,2006,,,,,,
B29A0849,002,07-05-2016,124,55,2004,,,,,,
B29A0849,002,08-05-2016,126,57,2002,,,,,,
B29A0849,002,09-05-2016,128,59,2000,,,,,,
B29A0849,002,10-05-2016,129,60,1999,,,,,,
B29A0849,002,11-05-2016,130,61,1998,,,,,,
B29A0849,002,12-05-2016,131,62,1997,,,,,,
B29A0849,002,13-05-2016,134,65,1994,,,,,,
B29A0849,002,14-05-2016,135,66,1993,,,,,,
B29A0849,002,15-05-2016,135,66,1993,,,,,,
B29A0849,002,16-05-2016,136,67,1992,,,,,,
B29A0849,002,17-05-2016,136,67,1992,,,,,,
B29A0849,002,18-05-2016,137,68,1991,,,,,,
B29A0849,002,19-05-2016,138,69,1990,,,,,,
