Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,25-02-2012,tot:,22-01-2020,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28B1389,001,,232673,488629,991,01-12-2011,01-12-2011,25-02-2012,,,,
B28B1389,001,,232673,488629,991,01-12-2011,25-02-2012,22-01-2020,1006,15,938,88


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28B1389,001,25-02-2012,55,40,951,,,,,,
B28B1389,001,26-02-2012,53,38,953,,,,,,
B28B1389,001,27-02-2012,53,38,953,,,,,,
B28B1389,001,28-02-2012,53,38,953,,,,,,
B28B1389,001,29-02-2012,53,38,953,,,,,,
B28B1389,001,01-03-2012,53,38,953,,,,,,
B28B1389,001,02-03-2012,53,38,953,,,,,,
B28B1389,001,03-03-2012,54,39,952,,,,,,
B28B1389,001,04-03-2012,53,38,953,,,,,,
B28B1389,001,05-03-2012,54,39,952,,,,,,
B28B1389,001,06-03-2012,52,37,954,,,,,,
B28B1389,001,07-03-2012,54,39,952,,,,,,
B28B1389,001,08-03-2012,53,38,953,,,,,,
B28B1389,001,09-03-2012,53,38,953,,,,,,
B28B1389,001,10-03-2012,53,38,953,,,,,,
B28B1389,001,11-03-2012,53,38,953,,,,,,
B28B1389,001,12-03-2012,54,39,952,,,,,,
B28B1389,001,13-03-2012,54,39,952,,,,,,
B28B1389,001,14-03-2012,53,38,953,,,,,,
B28B1389,001,15-03-2012,53,38,953,,,,,,
B28B1389,001,16-03-2012,55,40,951,,,,,,
B28B1389,001,17-03-2012,54,39,952,,,,,,
B28B1389,001,18-03-2012,55,40,951,,,,,,
B28B1389,001,19-03-2012,54,39,952,,,,,,
B28B1389,001,20-03-2012,55,40,951,,,,,,
B28B1389,001,21-03-2012,56,41,950,,,,,,
B28B1389,001,22-03-2012,56,41,950,,,,,,
B28B1389,001,23-03-2012,56,41,950,,,,,,
B28B1389,001,24-03-2012,56,41,950,,,,,,
B28B1389,001,25-03-2012,57,42,949,,,,,,
B28B1389,001,26-03-2012,57,42,949,,,,,,
B28B1389,001,27-03-2012,57,42,949,,,,,,
B28B1389,001,28-03-2012,58,43,948,,,,,,
B28B1389,001,29-03-2012,58,43,948,,,,,,
B28B1389,001,30-03-2012,58,43,948,,,,,,
B28B1389,001,31-03-2012,58,43,948,,,,,,
B28B1389,001,01-04-2012,58,43,948,,,,,,
B28B1389,001,02-04-2012,59,44,947,,,,,,
B28B1389,001,03-04-2012,59,44,947,,,,,,
B28B1389,001,04-04-2012,60,45,946,,,,,,
B28B1389,001,05-04-2012,59,44,947,,,,,,
B28B1389,001,06-04-2012,60,45,946,,,,,,
B28B1389,001,07-04-2012,61,46,945,,,,,,
B28B1389,001,08-04-2012,60,45,946,,,,,,
B28B1389,001,09-04-2012,61,46,945,,,,,,
B28B1389,001,10-04-2012,60,45,946,,,,,,
B28B1389,001,11-04-2012,59,44,947,,,,,,
B28B1389,001,12-04-2012,59,44,947,,,,,,
B28B1389,001,13-04-2012,59,44,947,,,,,,
B28B1389,001,14-04-2012,58,43,948,,,,,,
B28B1389,001,15-04-2012,59,44,947,,,,,,
B28B1389,001,16-04-2012,59,44,947,,,,,,
B28B1389,001,17-04-2012,60,45,946,,,,,,
