Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,30-10-2015,tot:,18-09-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28H1883,004,,256056,484978,1855,26-08-2015,26-08-2015,18-09-2019,1976,121,451,351


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28H1883,004,30-10-2015,103,-18,1873,,,,,,
B28H1883,004,31-10-2015,103,-18,1873,,,,,,
B28H1883,004,01-11-2015,103,-18,1873,,,,,,
B28H1883,004,02-11-2015,103,-18,1873,,,,,,
B28H1883,004,03-11-2015,102,-19,1874,,,,,,
B28H1883,004,04-11-2015,103,-18,1873,,,,,,
B28H1883,004,05-11-2015,103,-18,1873,,,,,,
B28H1883,004,06-11-2015,96,-25,1880,,,,,,
B28H1883,004,07-11-2015,93,-28,1883,,,,,,
B28H1883,004,08-11-2015,91,-30,1885,,,,,,
B28H1883,004,09-11-2015,91,-30,1885,,,,,,
B28H1883,004,10-11-2015,91,-30,1885,,,,,,
B28H1883,004,11-11-2015,90,-31,1886,,,,,,
B28H1883,004,12-11-2015,93,-28,1883,,,,,,
B28H1883,004,13-11-2015,93,-28,1883,,,,,,
B28H1883,004,14-11-2015,92,-29,1884,,,,,,
B28H1883,004,15-11-2015,76,-45,1900,,,,,,
B28H1883,004,16-11-2015,73,-48,1903,,,,,,
B28H1883,004,17-11-2015,72,-49,1904,,,,,,
B28H1883,004,18-11-2015,74,-47,1902,,,,,,
B28H1883,004,19-11-2015,67,-54,1909,,,,,,
B28H1883,004,20-11-2015,68,-53,1908,,,,,,
B28H1883,004,21-11-2015,69,-52,1907,,,,,,
B28H1883,004,22-11-2015,71,-50,1905,,,,,,
B28H1883,004,23-11-2015,73,-48,1903,,,,,,
B28H1883,004,24-11-2015,73,-48,1903,,,,,,
B28H1883,004,25-11-2015,66,-55,1910,,,,,,
B28H1883,004,26-11-2015,70,-51,1906,,,,,,
B28H1883,004,27-11-2015,71,-50,1905,,,,,,
B28H1883,004,28-11-2015,71,-50,1905,,,,,,
B28H1883,004,29-11-2015,67,-54,1909,,,,,,
B28H1883,004,30-11-2015,63,-58,1913,,,,,,
B28H1883,004,01-12-2015,60,-61,1916,,,,,,
B28H1883,004,02-12-2015,62,-59,1914,,,,,,
B28H1883,004,03-12-2015,65,-56,1911,,,,,,
B28H1883,004,04-12-2015,65,-56,1911,,,,,,
B28H1883,004,05-12-2015,66,-55,1910,,,,,,
B28H1883,004,06-12-2015,69,-52,1907,,,,,,
B28H1883,004,07-12-2015,70,-51,1906,,,,,,
B28H1883,004,08-12-2015,70,-51,1906,,,,,,
B28H1883,004,09-12-2015,68,-53,1908,,,,,,
B28H1883,004,10-12-2015,70,-51,1906,,,,,,
B28H1883,004,11-12-2015,64,-57,1912,,,,,,
B28H1883,004,12-12-2015,65,-56,1911,,,,,,
B28H1883,004,13-12-2015,61,-60,1915,,,,,,
B28H1883,004,14-12-2015,63,-58,1913,,,,,,
B28H1883,004,15-12-2015,66,-55,1910,,,,,,
B28H1883,004,16-12-2015,67,-54,1909,,,,,,
B28H1883,004,17-12-2015,65,-56,1911,,,,,,
B28H1883,004,18-12-2015,67,-54,1909,,,,,,
B28H1883,004,19-12-2015,69,-52,1907,,,,,,
B28H1883,004,20-12-2015,70,-51,1906,,,,,,
B28H1883,004,21-12-2015,65,-56,1911,,,,,,
B28H1883,004,22-12-2015,62,-59,1914,,,,,,
B28H1883,004,23-12-2015,65,-56,1911,,,,,,
B28H1883,004,24-12-2015,67,-54,1909,,,,,,
B28H1883,004,25-12-2015,69,-52,1907,,,,,,
B28H1883,004,26-12-2015,70,-51,1906,,,,,,
B28H1883,004,27-12-2015,71,-50,1905,,,,,,
B28H1883,004,28-12-2015,73,-48,1903,,,,,,
B28H1883,004,29-12-2015,74,-47,1902,,,,,,
B28H1883,004,30-12-2015,75,-46,1901,,,,,,
B28H1883,004,31-12-2015,75,-46,1901,,,,,,
B28H1883,004,01-01-2016,76,-45,1900,,,,,,
B28H1883,004,02-01-2016,75,-46,1901,,,,,,
B28H1883,004,03-01-2016,71,-50,1905,,,,,,
B28H1883,004,04-01-2016,67,-54,1909,,,,,,
B28H1883,004,05-01-2016,68,-53,1908,,,,,,
B28H1883,004,06-01-2016,69,-52,1907,,,,,,
B28H1883,004,07-01-2016,70,-51,1906,,,,,,
B28H1883,004,08-01-2016,65,-56,1911,,,,,,
