Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,30-10-2015,tot:,18-09-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28H1883,002,,256056,484978,1855,26-08-2015,26-08-2015,18-09-2019,1980,125,1563,1513


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28H1883,002,30-01-2016,103,-22,1877,,,,,,
B28H1883,002,31-01-2016,105,-20,1875,,,,,,
B28H1883,002,01-02-2016,106,-19,1874,,,,,,
B28H1883,002,02-02-2016,105,-20,1875,,,,,,
B28H1883,002,03-02-2016,106,-19,1874,,,,,,
B28H1883,002,04-02-2016,106,-19,1874,,,,,,
B28H1883,002,05-02-2016,106,-19,1874,,,,,,
B28H1883,002,06-02-2016,106,-19,1874,,,,,,
B28H1883,002,07-02-2016,107,-18,1873,,,,,,
B28H1883,002,08-02-2016,106,-19,1874,,,,,,
B28H1883,002,09-02-2016,104,-21,1876,,,,,,
B28H1883,002,10-02-2016,103,-22,1877,,,,,,
B28H1883,002,11-02-2016,104,-21,1876,,,,,,
B28H1883,002,12-02-2016,105,-20,1875,,,,,,
B28H1883,002,13-02-2016,106,-19,1874,,,,,,
B28H1883,002,14-02-2016,105,-20,1875,,,,,,
B28H1883,002,15-02-2016,104,-21,1876,,,,,,
B28H1883,002,16-02-2016,106,-19,1874,,,,,,
B28H1883,002,17-02-2016,106,-19,1874,,,,,,
B28H1883,002,18-02-2016,107,-18,1873,,,,,,
B28H1883,002,19-02-2016,107,-18,1873,,,,,,
B28H1883,002,20-02-2016,107,-18,1873,,,,,,
B28H1883,002,21-02-2016,104,-21,1876,,,,,,
B28H1883,002,22-02-2016,102,-23,1878,,,,,,
B28H1883,002,23-02-2016,105,-20,1875,,,,,,
B28H1883,002,24-02-2016,106,-19,1874,,,,,,
B28H1883,002,25-02-2016,107,-18,1873,,,,,,
B28H1883,002,26-02-2016,107,-18,1873,,,,,,
B28H1883,002,27-02-2016,107,-18,1873,,,,,,
B28H1883,002,28-02-2016,108,-17,1872,,,,,,
B28H1883,002,29-02-2016,109,-16,1871,,,,,,
B28H1883,002,01-03-2016,109,-16,1871,,,,,,
B28H1883,002,02-03-2016,106,-19,1874,,,,,,
B28H1883,002,03-03-2016,105,-20,1875,,,,,,
B28H1883,002,04-03-2016,106,-19,1874,,,,,,
B28H1883,002,05-03-2016,104,-21,1876,,,,,,
B28H1883,002,06-03-2016,106,-19,1874,,,,,,
B28H1883,002,07-03-2016,107,-18,1873,,,,,,
B28H1883,002,08-03-2016,107,-18,1873,,,,,,
B28H1883,002,09-03-2016,108,-17,1872,,,,,,
B28H1883,002,10-03-2016,109,-16,1871,,,,,,
B28H1883,002,11-03-2016,109,-16,1871,,,,,,
B28H1883,002,12-03-2016,110,-15,1870,,,,,,
B28H1883,002,13-03-2016,110,-15,1870,,,,,,
B28H1883,002,14-03-2016,110,-15,1870,,,,,,
B28H1883,002,15-03-2016,110,-15,1870,,,,,,
B28H1883,002,16-03-2016,111,-14,1869,,,,,,
B28H1883,002,17-03-2016,111,-14,1869,,,,,,
B28H1883,002,18-03-2016,110,-15,1870,,,,,,
B28H1883,002,19-03-2016,111,-14,1869,,,,,,
B28H1883,002,20-03-2016,111,-14,1869,,,,,,
B28H1883,002,21-03-2016,110,-15,1870,,,,,,
B28H1883,002,22-03-2016,110,-15,1870,,,,,,
B28H1883,002,23-03-2016,111,-14,1869,,,,,,
