Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,29-10-2015,tot:,18-09-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28H1883,003,,256056,484978,1855,26-08-2015,26-08-2015,18-09-2019,1978,123,963,913


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28H1883,003,29-10-2015,105,-18,1873,,,,,,
B28H1883,003,30-10-2015,105,-18,1873,,,,,,
B28H1883,003,31-10-2015,105,-18,1873,,,,,,
B28H1883,003,01-11-2015,106,-17,1872,,,,,,
B28H1883,003,02-11-2015,105,-18,1873,,,,,,
B28H1883,003,03-11-2015,105,-18,1873,,,,,,
B28H1883,003,04-11-2015,105,-18,1873,,,,,,
B28H1883,003,05-11-2015,106,-17,1872,,,,,,
B28H1883,003,06-11-2015,99,-24,1879,,,,,,
B28H1883,003,07-11-2015,96,-27,1882,,,,,,
B28H1883,003,08-11-2015,94,-29,1884,,,,,,
B28H1883,003,09-11-2015,94,-29,1884,,,,,,
B28H1883,003,10-11-2015,94,-29,1884,,,,,,
B28H1883,003,11-11-2015,93,-30,1885,,,,,,
B28H1883,003,12-11-2015,96,-27,1882,,,,,,
B28H1883,003,13-11-2015,96,-27,1882,,,,,,
B28H1883,003,14-11-2015,95,-28,1883,,,,,,
B28H1883,003,15-11-2015,80,-43,1898,,,,,,
B28H1883,003,16-11-2015,76,-47,1902,,,,,,
B28H1883,003,17-11-2015,76,-47,1902,,,,,,
B28H1883,003,18-11-2015,78,-45,1900,,,,,,
B28H1883,003,19-11-2015,71,-52,1907,,,,,,
B28H1883,003,20-11-2015,71,-52,1907,,,,,,
B28H1883,003,21-11-2015,72,-51,1906,,,,,,
B28H1883,003,22-11-2015,74,-49,1904,,,,,,
B28H1883,003,23-11-2015,76,-47,1902,,,,,,
B28H1883,003,24-11-2015,76,-47,1902,,,,,,
B28H1883,003,25-11-2015,70,-53,1908,,,,,,
B28H1883,003,26-11-2015,73,-50,1905,,,,,,
B28H1883,003,27-11-2015,75,-48,1903,,,,,,
B28H1883,003,28-11-2015,74,-49,1904,,,,,,
B28H1883,003,29-11-2015,71,-52,1907,,,,,,
B28H1883,003,30-11-2015,66,-57,1912,,,,,,
B28H1883,003,01-12-2015,64,-59,1914,,,,,,
B28H1883,003,02-12-2015,66,-57,1912,,,,,,
B28H1883,003,03-12-2015,69,-54,1909,,,,,,
B28H1883,003,04-12-2015,69,-54,1909,,,,,,
B28H1883,003,05-12-2015,70,-53,1908,,,,,,
B28H1883,003,06-12-2015,72,-51,1906,,,,,,
B28H1883,003,07-12-2015,74,-49,1904,,,,,,
B28H1883,003,08-12-2015,74,-49,1904,,,,,,
B28H1883,003,09-12-2015,72,-51,1906,,,,,,
B28H1883,003,10-12-2015,73,-50,1905,,,,,,
B28H1883,003,11-12-2015,67,-56,1911,,,,,,
B28H1883,003,12-12-2015,69,-54,1909,,,,,,
B28H1883,003,13-12-2015,65,-58,1913,,,,,,
B28H1883,003,14-12-2015,67,-56,1911,,,,,,
B28H1883,003,15-12-2015,70,-53,1908,,,,,,
B28H1883,003,16-12-2015,71,-52,1907,,,,,,
B28H1883,003,17-12-2015,69,-54,1909,,,,,,
B28H1883,003,18-12-2015,71,-52,1907,,,,,,
B28H1883,003,19-12-2015,73,-50,1905,,,,,,
B28H1883,003,20-12-2015,74,-49,1904,,,,,,
B28H1883,003,21-12-2015,69,-54,1909,,,,,,
B28H1883,003,22-12-2015,67,-56,1911,,,,,,
B28H1883,003,23-12-2015,69,-54,1909,,,,,,
B28H1883,003,24-12-2015,71,-52,1907,,,,,,
B28H1883,003,25-12-2015,73,-50,1905,,,,,,
B28H1883,003,26-12-2015,74,-49,1904,,,,,,
B28H1883,003,27-12-2015,75,-48,1903,,,,,,
B28H1883,003,28-12-2015,77,-46,1901,,,,,,
B28H1883,003,29-12-2015,77,-46,1901,,,,,,
B28H1883,003,30-12-2015,78,-45,1900,,,,,,
B28H1883,003,31-12-2015,78,-45,1900,,,,,,
B28H1883,003,01-01-2016,80,-43,1898,,,,,,
B28H1883,003,02-01-2016,79,-44,1899,,,,,,
B28H1883,003,03-01-2016,74,-49,1904,,,,,,
B28H1883,003,04-01-2016,70,-53,1908,,,,,,
B28H1883,003,05-01-2016,71,-52,1907,,,,,,
B28H1883,003,06-01-2016,72,-51,1906,,,,,,
B28H1883,003,07-01-2016,74,-49,1904,,,,,,
B28H1883,003,08-01-2016,69,-54,1909,,,,,,
B28H1883,003,09-01-2016,70,-53,1908,,,,,,
B28H1883,003,10-01-2016,72,-51,1906,,,,,,
B28H1883,003,11-01-2016,73,-50,1905,,,,,,
B28H1883,003,12-01-2016,73,-50,1905,,,,,,
B28H1883,003,13-01-2016,74,-49,1904,,,,,,
B28H1883,003,14-01-2016,71,-52,1907,,,,,,
B28H1883,003,15-01-2016,66,-57,1912,,,,,,
B28H1883,003,16-01-2016,68,-55,1910,,,,,,
B28H1883,003,17-01-2016,71,-52,1907,,,,,,
B28H1883,003,18-01-2016,73,-50,1905,,,,,,
B28H1883,003,19-01-2016,75,-48,1903,,,,,,
B28H1883,003,20-01-2016,77,-46,1901,,,,,,
B28H1883,003,21-01-2016,77,-46,1901,,,,,,
B28H1883,003,22-01-2016,78,-45,1900,,,,,,
B28H1883,003,23-01-2016,74,-49,1904,,,,,,
B28H1883,003,24-01-2016,73,-50,1905,,,,,,
B28H1883,003,25-01-2016,73,-50,1905,,,,,,
B28H1883,003,26-01-2016,74,-49,1904,,,,,,
B28H1883,003,27-01-2016,72,-51,1906,,,,,,
B28H1883,003,28-01-2016,66,-57,1912,,,,,,
B28H1883,003,29-01-2016,68,-55,1910,,,,,,
B28H1883,003,30-01-2016,63,-60,1915,,,,,,
B28H1883,003,31-01-2016,63,-60,1915,,,,,,
B28H1883,003,01-02-2016,65,-58,1913,,,,,,
B28H1883,003,02-02-2016,64,-59,1914,,,,,,
B28H1883,003,03-02-2016,66,-57,1912,,,,,,
B28H1883,003,04-02-2016,68,-55,1910,,,,,,
B28H1883,003,05-02-2016,66,-57,1912,,,,,,
B28H1883,003,06-02-2016,67,-56,1911,,,,,,
B28H1883,003,07-02-2016,69,-54,1909,,,,,,
B28H1883,003,08-02-2016,68,-55,1910,,,,,,
B28H1883,003,09-02-2016,63,-60,1915,,,,,,
B28H1883,003,10-02-2016,60,-63,1918,,,,,,
B28H1883,003,11-02-2016,62,-61,1916,,,,,,
B28H1883,003,12-02-2016,65,-58,1913,,,,,,
B28H1883,003,13-02-2016,66,-57,1912,,,,,,
B28H1883,003,14-02-2016,66,-57,1912,,,,,,
B28H1883,003,15-02-2016,62,-61,1916,,,,,,
B28H1883,003,16-02-2016,66,-57,1912,,,,,,
B28H1883,003,17-02-2016,67,-56,1911,,,,,,
B28H1883,003,18-02-2016,69,-54,1909,,,,,,
B28H1883,003,19-02-2016,70,-53,1908,,,,,,
B28H1883,003,20-02-2016,68,-55,1910,,,,,,
B28H1883,003,21-02-2016,62,-61,1916,,,,,,
B28H1883,003,22-02-2016,58,-65,1920,,,,,,
B28H1883,003,23-02-2016,61,-62,1917,,,,,,
B28H1883,003,24-02-2016,64,-59,1914,,,,,,
B28H1883,003,25-02-2016,66,-57,1912,,,,,,
B28H1883,003,26-02-2016,68,-55,1910,,,,,,
B28H1883,003,27-02-2016,70,-53,1908,,,,,,
B28H1883,003,28-02-2016,73,-50,1905,,,,,,
B28H1883,003,29-02-2016,74,-49,1904,,,,,,
B28H1883,003,01-03-2016,74,-49,1904,,,,,,
B28H1883,003,02-03-2016,66,-57,1912,,,,,,
B28H1883,003,03-03-2016,64,-59,1914,,,,,,
B28H1883,003,04-03-2016,65,-58,1913,,,,,,
B28H1883,003,05-03-2016,63,-60,1915,,,,,,
B28H1883,003,06-03-2016,66,-57,1912,,,,,,
B28H1883,003,07-03-2016,68,-55,1910,,,,,,
B28H1883,003,08-03-2016,70,-53,1908,,,,,,
B28H1883,003,09-03-2016,71,-52,1907,,,,,,
B28H1883,003,10-03-2016,74,-49,1904,,,,,,
B28H1883,003,11-03-2016,75,-48,1903,,,,,,
B28H1883,003,12-03-2016,77,-46,1901,,,,,,
B28H1883,003,13-03-2016,78,-45,1900,,,,,,
B28H1883,003,14-03-2016,79,-44,1899,,,,,,
B28H1883,003,15-03-2016,79,-44,1899,,,,,,
B28H1883,003,16-03-2016,80,-43,1898,,,,,,
B28H1883,003,17-03-2016,82,-41,1896,,,,,,
B28H1883,003,18-03-2016,81,-42,1897,,,,,,
B28H1883,003,19-03-2016,82,-41,1896,,,,,,
B28H1883,003,20-03-2016,82,-41,1896,,,,,,
B28H1883,003,21-03-2016,80,-43,1898,,,,,,
B28H1883,003,22-03-2016,81,-42,1897,,,,,,
B28H1883,003,23-03-2016,82,-41,1896,,,,,,
B28H1883,003,24-03-2016,82,-41,1896,,,,,,
B28H1883,003,25-03-2016,78,-45,1900,,,,,,
B28H1883,003,26-03-2016,75,-48,1903,,,,,,
B28H1883,003,27-03-2016,74,-49,1904,,,,,,
B28H1883,003,28-03-2016,71,-52,1907,,,,,,
B28H1883,003,29-03-2016,72,-51,1906,,,,,,
B28H1883,003,30-03-2016,68,-55,1910,,,,,,
B28H1883,003,31-03-2016,72,-51,1906,,,,,,
B28H1883,003,01-04-2016,76,-47,1902,,,,,,
B28H1883,003,02-04-2016,78,-45,1900,,,,,,
B28H1883,003,03-04-2016,79,-44,1899,,,,,,
B28H1883,003,04-04-2016,80,-43,1898,,,,,,
B28H1883,003,05-04-2016,82,-41,1896,,,,,,
B28H1883,003,06-04-2016,81,-42,1897,,,,,,
B28H1883,003,07-04-2016,81,-42,1897,,,,,,
B28H1883,003,08-04-2016,82,-41,1896,,,,,,
B28H1883,003,09-04-2016,83,-40,1895,,,,,,
B28H1883,003,10-04-2016,86,-37,1892,,,,,,
B28H1883,003,11-04-2016,88,-35,1890,,,,,,
B28H1883,003,12-04-2016,88,-35,1890,,,,,,
B28H1883,003,13-04-2016,82,-41,1896,,,,,,
B28H1883,003,14-04-2016,83,-40,1895,,,,,,
B28H1883,003,15-04-2016,80,-43,1898,,,,,,
B28H1883,003,16-04-2016,75,-48,1903,,,,,,
B28H1883,003,17-04-2016,78,-45,1900,,,,,,
B28H1883,003,18-04-2016,79,-44,1899,,,,,,
B28H1883,003,19-04-2016,82,-41,1896,,,,,,
B28H1883,003,20-04-2016,85,-38,1893,,,,,,
B28H1883,003,21-04-2016,86,-37,1892,,,,,,
B28H1883,003,22-04-2016,87,-36,1891,,,,,,
B28H1883,003,23-04-2016,88,-35,1890,,,,,,
B28H1883,003,24-04-2016,89,-34,1889,,,,,,
B28H1883,003,25-04-2016,88,-35,1890,,,,,,
B28H1883,003,26-04-2016,80,-43,1898,,,,,,
B28H1883,003,27-04-2016,76,-47,1902,,,,,,
B28H1883,003,28-04-2016,79,-44,1899,,,,,,
B28H1883,003,29-04-2016,80,-43,1898,,,,,,
B28H1883,003,30-04-2016,82,-41,1896,,,,,,
B28H1883,003,01-05-2016,85,-38,1893,,,,,,
B28H1883,003,02-05-2016,87,-36,1891,,,,,,
B28H1883,003,03-05-2016,87,-36,1891,,,,,,
B28H1883,003,04-05-2016,90,-33,1888,,,,,,
B28H1883,003,05-05-2016,92,-31,1886,,,,,,
B28H1883,003,06-05-2016,93,-30,1885,,,,,,
B28H1883,003,07-05-2016,95,-28,1883,,,,,,
B28H1883,003,08-05-2016,98,-25,1880,,,,,,
B28H1883,003,09-05-2016,101,-22,1877,,,,,,
B28H1883,003,10-05-2016,102,-21,1876,,,,,,
B28H1883,003,11-05-2016,104,-19,1874,,,,,,
B28H1883,003,12-05-2016,107,-16,1871,,,,,,
B28H1883,003,13-05-2016,110,-13,1868,,,,,,
B28H1883,003,14-05-2016,112,-11,1866,,,,,,
B28H1883,003,15-05-2016,112,-11,1866,,,,,,
B28H1883,003,16-05-2016,112,-11,1866,,,,,,
B28H1883,003,17-05-2016,112,-11,1866,,,,,,
B28H1883,003,18-05-2016,114,-9,1864,,,,,,
B28H1883,003,19-05-2016,114,-9,1864,,,,,,
B28H1883,003,20-05-2016,115,-8,1863,,,,,,
B28H1883,003,21-05-2016,115,-8,1863,,,,,,
B28H1883,003,22-05-2016,118,-5,1860,,,,,,
B28H1883,003,23-05-2016,113,-10,1865,,,,,,
B28H1883,003,24-05-2016,95,-28,1883,,,,,,
B28H1883,003,25-05-2016,97,-26,1881,,,,,,
B28H1883,003,26-05-2016,101,-22,1877,,,,,,
B28H1883,003,27-05-2016,104,-19,1874,,,,,,
B28H1883,003,28-05-2016,105,-18,1873,,,,,,
B28H1883,003,29-05-2016,107,-16,1871,,,,,,
B28H1883,003,30-05-2016,108,-15,1870,,,,,,
B28H1883,003,31-05-2016,99,-24,1879,,,,,,
B28H1883,003,01-06-2016,102,-21,1876,,,,,,
B28H1883,003,02-06-2016,107,-16,1871,,,,,,
B28H1883,003,03-06-2016,105,-18,1873,,,,,,
B28H1883,003,04-06-2016,110,-13,1868,,,,,,
B28H1883,003,05-06-2016,116,-7,1862,,,,,,
B28H1883,003,06-06-2016,118,-5,1860,,,,,,
B28H1883,003,07-06-2016,121,-2,1857,,,,,,
B28H1883,003,08-06-2016,124,1,1854,,,,,,
B28H1883,003,09-06-2016,124,1,1854,,,,,,
B28H1883,003,10-06-2016,127,4,1851,,,,,,
B28H1883,003,11-06-2016,129,6,1849,,,,,,
